sofifa_id,nationality_name,international_reputation,nation_jersey_number
203890,Croatia,2,
203895,Spain,2,
203980,Greece,2,
204399,Israel,2,
204970,France,1,
205600,France,3,
205686,France,2,
205693,Côte d'Ivoire,3,
205705,Morocco,1,
205849,Argentina,1,
207599,England,2,
207732,Spain,2,
207877,Venezuela,2,
208808,Netherlands,3,
209519,France,2,
209960,Spain,1,
210455,Spain,2,
211117,England,3,
212151,Albania,1,
212187,Germany,2,
212814,Portugal,3,24.0
213661,Denmark,2,6.0
214584,Argentina,1,1.0
215223,Argentina,2,
215316,Argentina,3,
216189,Spain,2,
217870,Italy,2,2.0
219683,France,3,
219953,Spain,1,
220182,Belgium,3,3.0
220971,Guinea,2,
221087,Spain,1,
221660,Sweden,2,3.0
222331,Germany,2,26.0
222716,Brazil,1,
223724,Austria,2,
223816,Uruguay,1,
223959,Uruguay,2,
224179,Spain,1,
224309,Spain,1,
225085,France,2,
225201,Spain,1,
225953,Netherlands,2,7.0
226491,Scotland,2,6.0
226754,Algeria,2,
227290,Serbia,1,
227813,Ukraine,2,17.0
227928,Portugal,2,2.0
229237,Switzerland,2,
229261,Switzerland,2,
229582,Italy,2,
229857,Italy,1,
229927,Brazil,2,
230201,Brazil,1,2.0
230204,Brazil,1,12.0
230271,Brazil,1,13.0
230313,Brazil,1,16.0
230767,Portugal,3,
231447,Netherlands,2,18.0
232119,Turkey,1,
232293,Nigeria,2,
233195,Austria,2,23.0
233306,England,2,13.0
236401,Morocco,2,
236583,Czech Republic,2,
236987,France,2,
237238,Scotland,2,4.0
237383,Italy,1,23.0
238794,Brazil,2,
239207,Uruguay,1,
240709,Germany,2,
240900,Spain,1,
241084,Colombia,1,
241095,Croatia,2,
243576,Spain,1,
244369,Ukraine,2,7.0
244470,Czech Republic,1,5.0
246669,England,2,16.0
41,Spain,4,
138412,England,2,
156616,France,4,
158121,France,2,
159145,France,3,
162240,Belgium,3,
170890,France,3,
173221,Italy,3,
176550,Colombia,2,
176635,Germany,4,
176919,Argentina,1,
178509,France,3,
184484,Iceland,3,10.0
186682,Spain,1,
187052,France,2,
188041,Brazil,1,
188042,Argentina,2,
189560,Spain,2,
189615,England,2,
189682,England,1,
189805,Netherlands,2,
190584,Spain,2,
190717,Jamaica,2,
190745,Italy,1,
190813,Italy,3,
191202,Serbia,3,
191740,Spain,3,
192064,China PR,2,
192123,New Zealand,1,9.0
192598,China PR,2,9.0
192638,Spain,2,
192789,Spain,2,
192906,Argentina,1,
193198,Serbia,2,
193348,Switzerland,3,
194209,Morocco,2,
194333,Poland,2,
196978,England,2,
198230,Spain,1,
198329,Spain,3,
198784,England,2,
198946,Italy,2,
199354,Spain,2,
199503,Switzerland,3,
200315,Spain,2,
200726,France,2,
201455,Central African Republic,2,
202048,England,1,
202335,England,2,
202477,Spain,3,
202648,Spain,1,
202750,Côte d'Ivoire,1,
202857,Germany,2,
202935,Spain,2,
203299,Peru,2,
203483,Netherlands,2,14.0
204024,Germany,2,
204234,Spain,1,
204259,Colombia,2,
204538,Peru,2,
204884,France,2,
205923,Wales,2,4.0
206413,Ukraine,1,19.0
206467,France,2,
206545,Spain,2,
206585,Spain,2,
207494,England,2,
208104,Brazil,1,
208135,France,2,
208165,Albania,1,
209846,Germany,2,
210315,Spain,1,
210324,Germany,2,23.0
210513,Colombia,2,
210625,Switzerland,2,
210897,Congo DR,1,
211022,Spain,1,
211241,Spain,1,
211748,Germany,2,
212096,Italy,2,
212382,Nigeria,1,
212404,Italy,2,20.0
212442,Portugal,1,
213516,Portugal,1,
214047,Colombia,1,
216145,Italy,2,
216150,Italy,2,
216388,France,2,
216531,Portugal,1,
218339,Germany,2,18.0
219789,Mali,2,
219809,France,2,
220253,Morocco,2,
220523,Colombia,2,
220673,Peru,1,
220793,Colombia,2,
221491,Switzerland,2,
222028,Germany,2,
222501,Belgium,1,21.0
223249,Chile,1,
223578,Spain,1,
223597,France,2,
224031,Montenegro,2,
224196,Algeria,2,
224490,Turkey,2,
225116,Italy,2,26.0
225508,Côte d'Ivoire,2,
225663,Russia,3,17.0
226162,Argentina,3,
226221,Spain,1,
226300,Turkey,1,
226456,Spain,2,
226851,France,3,
228093,France,2,
228520,Argentina,1,
228687,Denmark,2,12.0
230184,Brazil,1,
230216,Brazil,1,19.0
230234,Brazil,1,8.0
230251,Brazil,1,
230312,Brazil,1,23.0
230498,Brazil,1,11.0
232432,Serbia,1,
232580,Brazil,2,
232665,Uruguay,1,
232730,Japan,2,
232756,England,2,
233738,Spain,1,
234035,Spain,1,
234236,Czech Republic,3,10.0
234612,France,3,
235073,Switzerland,1,
235688,Brazil,1,
236480,Mali,1,
236506,Argentina,2,
236572,Netherlands,2,
236610,Italy,2,
236632,Brazil,3,
237239,North Macedonia,2,
237942,Ecuador,1,
239301,Argentina,2,25.0
239433,Serbia,1,
240243,Brazil,2,
240679,Netherlands,2,20.0
241637,France,2,24.0
241788,Iran,1,
242516,Netherlands,1,9.0
243812,Brazil,1,
244067,France,2,
247204,Brazil,1,
247851,Brazil,2,
251809,Netherlands,2,
252371,England,2,21.0
255475,Brazil,2,
24630,Spain,3,
146439,Spain,3,
152908,England,2,
156433,Mexico,1,
159261,Italy,2,
163155,England,2,
165229,France,3,
167397,Colombia,3,
170368,Argentina,2,
171897,Mexico,3,18.0
172962,Nigeria,2,
173306,Argentina,2,
173909,Ghana,3,
174543,Chile,3,
175254,Ecuador,2,
175379,Spain,2,
176772,Algeria,2,
177633,Spain,1,
178007,Portugal,3,
178088,Spain,3,
178213,France,2,
178224,Mexico,3,
178250,Senegal,1,
178415,Netherlands,2,
180216,Republic of Ireland,2,2.0
180334,Brazil,2,
183394,France,2,
184392,Italy,2,
185103,Serbia,3,
186197,Congo DR,2,
186801,Senegal,2,
187607,Russia,2,22.0
187936,France,2,
188335,Croatia,2,
189053,Italy,1,
189125,Italy,2,
189280,England,1,
189505,Spain,3,
189606,Austria,2,
189881,England,3,
190243,Switzerland,2,
191180,Argentina,3,
192045,Mexico,1,
192678,Spain,1,
192679,Spain,1,
193171,Spain,1,
193361,Italy,2,
193408,Switzerland,2,
193469,Spain,2,
194222,Spain,1,
195096,Brazil,1,
197837,Belgium,2,4.0
198657,Norway,1,16.0
198658,Norway,2,18.0
199189,England,2,
199206,Croatia,3,
199576,Spain,2,
199652,Belgium,2,19.0
199715,Spain,2,
199915,England,1,
200155,Belgium,1,
200159,Germany,1,
201042,France,2,
201417,Republic of Ireland,1,14.0
201995,Brazil,3,
202849,Denmark,2,3.0
203605,Czech Republic,2,2.0
203747,Spain,3,
203843,Uruguay,1,
204082,United States,2,6.0
204614,Portugal,2,
205192,Spain,2,
205409,Uruguay,1,
205966,Germany,2,
206534,England,2,
206590,Spain,1,
206651,Spain,1,
207566,Portugal,2,
208268,Italy,2,16.0
208295,Morocco,1,
208334,Germany,2,
208364,Angola,1,
208920,Netherlands,3,
209288,France,2,
209973,Cameroon,2,
210372,Algeria,2,
210537,Switzerland,2,
210665,Germany,2,
210736,Italy,2,13.0
210881,Scotland,2,7.0
210930,Spain,2,
211591,France,2,
212207,Romania,2,23.0
212213,Portugal,1,
212419,England,2,15.0
213160,Russia,1,11.0
213331,Germany,2,
213577,Spain,1,
213874,Brazil,2,
213951,Brazil,1,
213956,Spain,1,20.0
214040,Colombia,1,
214092,Russia,1,15.0
214097,France,2,
214766,Argentina,1,
215353,Argentina,2,
215590,Spain,1,
216194,Spain,1,
216320,Côte d'Ivoire,2,
216643,France,3,2.0
217036,Spain,1,
217546,Portugal,1,
219581,France,1,
219733,France,2,
219792,France,2,
219985,Uruguay,2,
220883,Colombia,1,
221697,England,2,
221832,Uruguay,1,
222493,Germany,1,
222558,Netherlands,2,
222943,Spain,1,
223053,Ecuador,1,
223273,Croatia,2,
224003,Spain,1,
224069,Cameroon,2,
224254,Argentina,1,
224371,England,1,
225263,Croatia,2,
225341,Spain,1,
225659,Argentina,1,18.0
225711,Senegal,2,
225719,Nigeria,1,
226766,Portugal,1,
226789,France,2,
227055,Portugal,3,
227174,England,2,
227535,Uruguay,2,
227678,England,2,
227890,Portugal,1,
228336,Austria,2,10.0
228413,Italy,1,
228881,Italy,2,
229909,Russia,1,
230183,Brazil,1,
230206,Brazil,1,
230212,Brazil,1,5.0
230285,Brazil,1,
230360,Brazil,1,
230385,Brazil,1,15.0
230406,Brazil,1,17.0
230426,Brazil,1,21.0
230440,Brazil,1,
230442,Brazil,1,
230460,Brazil,1,14.0
231340,Argentina,1,4.0
231352,England,2,
231410,Spain,1,
231691,France,2,
231887,Turkey,1,
232080,England,1,
232487,Japan,2,
233486,France,1,
234060,Venezuela,1,
234835,Portugal,1,14.0
235353,Senegal,1,
236045,Mozambique,1,
236355,Brazil,1,
236791,Czech Republic,1,7.0
237678,France,2,
238067,Italy,2,22.0
238463,Mali,2,
238476,France,1,
238616,Portugal,1,
239380,Netherlands,1,
239613,Italy,2,12.0
239817,France,1,
240699,Uruguay,1,
240753,France,2,
241184,Spain,2,
241727,Serbia,2,
242187,Austria,2,19.0
242201,Spain,1,
243238,Ukraine,1,
243559,Spain,1,
243630,Canada,2,20.0
244193,Cape Verde Islands,1,
244253,Serbia,1,
244467,Czech Republic,1,
244622,Spain,1,
245630,France,2,
246104,Netherlands,1,16.0
246147,England,1,
246430,Serbia,2,
246646,France,2,
246844,Spain,1,
248243,France,3,
248695,France,1,
252145,Portugal,1,19.0
256630,Germany,2,16.0
20775,Portugal,3,
49000,Scotland,2,
146748,Spain,3,
146758,Spain,3,
154472,Spain,1,
158963,Argentina,3,
165109,Romania,2,
170370,Mexico,3,
170597,Netherlands,2,13.0
172114,Argentina,2,
172879,Greece,3,
173432,Mexico,1,
173521,Spain,3,
173608,Spain,1,
176600,France,3,
177326,France,3,
179605,Morocco,2,
179789,France,2,
180714,Russia,2,
180808,Czech Republic,1,
181098,Japan,2,
181820,Montenegro,3,
183353,Spain,1,
183899,Argentina,2,
184703,Mexico,1,
184858,Brazil,1,
185221,Brazil,3,
185239,Turkey,2,
188044,China PR,2,11.0
188081,Brazil,3,
188103,Spain,1,
188988,Argentina,2,
189068,Netherlands,3,
189250,Venezuela,2,
189472,Spain,1,
190143,Spain,1,
190149,Spain,2,
190432,Spain,1,
190577,Argentina,1,
190875,Slovakia,2,
192342,Colombia,2,
192816,Uruguay,1,
193254,Austria,2,16.0
193290,Denmark,2,9.0
193601,Argentina,1,
194022,Portugal,2,
194229,Spain,2,
194806,England,2,
194932,England,2,
194958,Australia,1,8.0
195093,Brazil,2,
195272,Italy,1,
195479,England,1,
196147,Colombia,1,
197083,Italy,2,
197948,France,2,
198118,France,2,
198129,Paraguay,1,
198140,Mexico,1,11.0
199005,Australia,1,1.0
199069,Cameroon,2,
199580,England,1,
199641,Belgium,2,13.0
200094,Russia,1,7.0
200110,Netherlands,2,
200215,Germany,2,
200536,Germany,2,
201315,Brazil,1,
201325,Romania,2,
201377,Colombia,2,
201454,Algeria,2,
201505,Spain,1,
202282,Scotland,1,17.0
202371,Belgium,2,15.0
202493,Spain,2,
202562,France,2,
202789,Germany,2,
202851,France,2,
203177,France,1,
203487,England,2,
203757,Cape Verde Islands,1,
204341,Portugal,1,
204876,Spain,1,
205186,Argentina,1,
206075,England,2,
206493,Morocco,2,
206652,Spain,2,
207421,Belgium,1,20.0
207664,Colombia,3,
207791,Denmark,2,20.0
207948,Burkina Faso,2,
208004,Netherlands,2,
208250,Greece,1,11.0
208777,Spain,2,
209440,Brazil,2,
210282,Brazil,2,
210617,Spain,2,
210864,Albania,2,
211147,Austria,2,
211320,Italy,2,
211454,Egypt,1,
211575,Portugal,3,
211784,France,1,
212067,Colombia,1,
212153,Italy,2,
212245,Germany,2,
212491,Congo DR,1,
212501,Belgium,2,22.0
212602,Spain,2,
212623,Spain,1,
213013,Ghana,1,
213655,Nigeria,2,
213761,Morocco,2,
214009,Colombia,2,
214947,Côte d'Ivoire,1,
214977,Argentina,1,
215057,Argentina,1,
215071,Argentina,1,
215160,Argentina,1,
215441,France,2,
215502,Poland,1,17.0
216258,Togo,2,
216435,Slovakia,2,
216497,Germany,2,
217196,Argentina,2,
217877,Belgium,1,
218659,England,1,
219145,Chile,1,
219391,Argentina,1,
219522,Argentina,1,
219681,France,2,
220085,Germany,1,
220132,Spain,1,
220287,Argentina,1,
220421,Côte d'Ivoire,1,
220502,Italy,1,
220621,Algeria,1,
221174,Croatia,2,
222357,Switzerland,2,
222390,Spain,1,
222400,England,1,
222509,Spain,2,
222515,Algeria,2,
222709,Brazil,2,
223550,Switzerland,1,
223874,France,2,
223898,France,2,
224221,Denmark,2,2.0
224389,Sweden,1,25.0
224394,Portugal,1,
224422,Côte d'Ivoire,1,
224574,Mexico,1,10.0
225014,Italy,2,
225024,England,1,
225126,Tunisia,2,
225309,Germany,2,
225793,England,2,
225997,Slovenia,1,
226637,Spain,1,
227275,Argentina,1,
227476,Brazil,1,
227508,Spain,1,
227528,Argentina,1,
227536,Mali,2,
227927,England,1,
228295,England,1,
228302,Spain,1,
228414,Brazil,1,
229167,Kosovo,1,
229752,Switzerland,2,
229773,Russia,1,14.0
229942,France,2,
229971,France,1,
230043,France,1,
230182,Brazil,1,
230197,Brazil,1,
230241,Brazil,1,
230269,Brazil,1,
230331,Brazil,1,
230337,Brazil,1,
230346,Brazil,1,
230349,Brazil,1,
230371,Brazil,1,
230379,Brazil,1,
230384,Brazil,1,10.0
230402,Brazil,1,
230431,Brazil,1,
230717,Zimbabwe,2,
230899,England,1,
230965,Uruguay,2,
230977,Paraguay,1,
231102,France,2,
231318,France,1,
231521,Argentina,2,14.0
231554,England,1,
231628,Spain,1,
231633,France,2,
232104,Wales,1,10.0
232144,Germany,2,
232229,Netherlands,1,1.0
232440,Brazil,1,
232862,Japan,1,
232905,Japan,1,
232999,United States,2,4.0
233531,Venezuela,2,
234128,Brazil,2,
234426,Brazil,1,
234468,Argentina,1,
234568,Portugal,1,
234678,Denmark,2,5.0
234730,France,1,
234772,Spain,1,
234777,United States,1,1.0
234833,Germany,1,
235173,Côte d'Ivoire,1,
235794,England,1,
235844,Mexico,1,4.0
235889,Turkey,1,
235945,Spain,1,
236403,France,2,
236441,Argentina,1,
236477,France,2,
236496,France,1,
236499,Brazil,2,
236532,Germany,2,
236593,Netherlands,2,
236639,Portugal,2,
236772,Hungary,1,10.0
236786,France,2,
237520,Guinea,1,
238041,Netherlands,1,5.0
238160,Turkey,1,
238744,United States,2,8.0
238857,Portugal,1,
238896,Brazil,1,
239093,France,1,
239482,Brazil,1,
239901,Austria,2,
240471,Uruguay,1,
240690,Argentina,2,
240702,Ukraine,1,9.0
240740,England,2,
241049,Spain,1,
241096,Italy,1,
241202,Zambia,1,
241508,Denmark,2,14.0
241721,Portugal,1,
241771,Nigeria,1,
242656,France,1,
243015,Mexico,1,5.0
243282,England,1,
243388,Croatia,2,
243647,Turkey,1,
244263,Kosovo,1,
244621,Brazil,1,
244892,France,1,
245037,Spain,2,12.0
245155,Ghana,1,
245158,Colombia,1,
245541,United States,2,7.0
246172,Nigeria,1,
246186,Brazil,1,
246242,Senegal,1,
246420,Belgium,3,
247030,Czech Republic,1,13.0
247257,Brazil,2,
251116,Czech Republic,1,9.0
251412,Israel,1,
252308,Libya,1,
253109,Netherlands,1,
253163,Uruguay,1,
253727,Czech Republic,1,
254796,England,1,
2147,Netherlands,2,
104389,Norway,2,1.0
134744,Canada,2,13.0
143121,Argentina,2,
146296,Spain,1,
146952,Spain,1,
146963,Argentina,2,
151508,Northern Ireland,2,8.0
152554,France,3,
152916,Argentina,1,
154950,Russia,2,18.0
158625,Brazil,3,
162895,Spain,4,
163264,England,2,
163925,Italy,1,
164859,England,3,
167575,Russia,1,1.0
167959,Brazil,2,
168621,Greece,1,8.0
169705,England,2,
169706,England,2,
170320,Italy,2,
170719,Argentina,1,
170733,Côte d'Ivoire,3,
172723,Bosnia and Herzegovina,3,
173208,Italy,2,
173474,Austria,2,
176526,Uruguay,1,
176930,Chile,1,
179765,Argentina,1,
181318,Sweden,2,8.0
182495,Uruguay,2,
182945,Côte d'Ivoire,2,
183130,England,2,
183569,Cameroon,2,
184190,France,2,
184826,Portugal,3,
186098,Mexico,1,12.0
186156,England,2,
186190,Netherlands,2,
186200,Italy,2,
186537,Uruguay,2,
186627,Italy,4,
187491,Russia,2,
187735,Russia,3,
188955,Argentina,1,
189060,Austria,2,3.0
189156,Portugal,2,
189251,Germany,2,
189454,Ecuador,1,
189712,Netherlands,3,
190362,Finland,1,10.0
190765,Germany,2,
191627,Belgium,1,
192041,Mexico,1,2.0
192641,Germany,2,
192665,Germany,1,
193116,France,3,
193331,England,1,
193352,Switzerland,2,
193683,France,1,
193881,Serbia,1,
194794,Ukraine,3,13.0
194845,Tunisia,2,
195668,Spain,1,
198006,Netherlands,1,
198368,Spain,1,
198581,Colombia,1,
198719,England,2,
199393,France,2,
199561,Spain,2,
199575,Spain,1,
199577,Spain,1,
199633,England,1,
199745,Denmark,1,
199767,Netherlands,2,
199813,Austria,1,
200316,Germany,2,
200529,Belgium,2,
200677,Portugal,1,
201118,Portugal,2,
201144,Croatia,2,
201262,Czech Republic,2,
201389,Italy,2,
201510,France,2,
201858,Italy,2,
201956,Senegal,2,
201976,Senegal,1,
201982,France,2,
202201,Netherlands,2,
202429,Germany,2,
202599,Brazil,2,
202685,Italy,2,
203030,Germany,2,
203741,France,1,
204077,Senegal,2,
204105,France,1,
204125,Czech Republic,1,18.0
204277,Spain,1,
204308,Belgium,1,
204529,Belgium,2,23.0
204691,Uruguay,1,
204760,England,1,
205083,Morocco,2,
205201,Turkey,1,
205211,Canada,1,18.0
