sofifa_id,value_mln_eur,wage_k_eur,release_clause_mln_eur
206113,64.5,110.0,111.3
223848,66.0,100.0,117.2
226790,66.5,120.0,131.3
230142,77.5,57.0,168.6
231478,78.0,145.0,138.5
231677,77.5,150.0,149.2
235212,69.5,100.0,133.8
235243,75.0,81.0,129.4
41236,14.5,51.0,24.7
146536,13.0,30.0,27.3
152729,13.5,175.0,27.7
175943,20.5,105.0,34.9
181291,40.5,115.0,74.9
183711,29.5,140.0,54.6
184134,21.0,43.0,44.1
186345,36.5,74.0,74.8
192629,27.0,46.0,56.7
193080,28.0,120.0,51.8
197445,35.5,195.0,72.8
198706,42.5,95.0,72.3
199434,33.5,32.0,46.9
199451,41.5,88.0,78.9
200458,40.5,110.0,77.0
200647,27.0,84.0,45.9
202811,33.5,81.0,66.2
203263,42.5,155.0,81.8
204639,34.5,74.0,70.7
204923,48.0,110.0,82.8
205988,48.5,140.0,93.4
206517,50.5,180.0,97.2
207862,42.5,45.0,75.4
207863,27.5,74.0,56.4
208418,45.0,81.0,92.3
208574,42.5,52.0,72.3
208670,42.5,170.0,78.6
209889,40.5,79.0,68.9
210243,40.5,130.0,77.0
212188,56.5,155.0,108.8
215698,49.5,45.0,87.9
216352,37.0,130.0,62.9
216393,57.0,125.0,112.6
216460,52.0,74.0,110.5
216594,45.0,42.0,94.5
222492,56.0,105.0,96.6
224232,63.5,120.0,112.7
224334,37.0,45.0,77.7
228941,51.0,110.0,90.5
230938,49.5,51.0,87.9
232656,62.5,51.0,118.8
235790,94.5,130.0,193.7
237692,94.5,125.0,193.7
135507,7.0,100.0,13.0
169416,29.0,17.0,43.5
177413,24.0,72.0,40.8
178750,18.0,37.0,37.8
179645,23.5,54.0,40.0
180930,15.5,105.0,26.4
183907,23.5,81.0,44.7
184087,,,
184432,25.0,125.0,46.3
187961,28.5,61.0,48.5
189575,36.5,44.0,76.7
190286,34.5,38.0,72.5
190941,19.0,55.0,32.3
191043,31.5,95.0,52.0
192563,28.0,87.0,55.3
192774,30.0,80.0,51.0
192883,29.5,82.0,50.2
193082,19.0,95.0,31.4
197061,30.5,130.0,56.4
197655,30.0,21.0,60.0
199845,17.5,75.0,29.8
199914,30.5,100.0,58.0
200610,37.0,83.0,70.3
201153,37.0,84.0,
201399,37.0,120.0,68.5
202884,33.0,72.0,56.1
203574,41.0,140.0,78.9
203841,25.0,45.0,47.5
204838,35.5,120.0,67.5
204935,33.0,83.0,65.2
205452,34.5,130.0,66.4
205632,39.5,46.0,83.0
207410,41.5,135.0,79.9
209989,36.5,115.0,69.4
211688,43.5,48.0,94.6
213565,48.0,71.0,102.0
213648,43.5,105.0,85.9
214997,48.0,80.0,102.0
215333,35.5,77.0,60.4
216354,35.5,59.0,60.4
220651,46.0,77.0,81.7
220814,44.5,85.0,76.8
220834,48.0,190.0,102.0
223689,37.0,95.0,62.9
223697,36.0,65.0,61.2
225193,50.0,47.0,108.8
225850,45.5,90.0,87.6
228618,43.5,170.0,92.4
229880,48.5,115.0,93.4
230481,35.5,49.0,67.5
230658,47.0,90.0,81.1
230666,52.5,150.0,101.1
231443,55.0,165.0,116.9
233064,58.5,120.0,119.9
234642,30.0,105.0,57.8
235805,80.5,74.0,
239053,58.0,160.0,130.5
241486,53.0,33.0,121.9
242444,82.0,61.0,184.5
120533,5.5,14.0,11.0
157481,8.0,30.0,16.8
164835,3.4,43.0,6.5
168435,5.0,20.0,9.0
168651,18.5,39.0,38.9
173731,25.0,170.0,51.3
178005,10.0,51.0,17.0
178562,15.0,46.0,25.5
180206,25.0,155.0,
183512,22.0,35.0,46.2
187072,24.0,41.0,40.8
188152,30.0,38.0,46.5
188943,20.5,31.0,34.9
189242,30.0,165.0,61.5
190460,29.5,120.0,50.2
190815,21.0,23.0,29.4
192318,30.0,29.0,42.0
193105,26.0,75.0,
193165,30.5,22.0,61.0
193301,30.0,110.0,57.0
193474,21.5,88.0,39.8
193525,26.5,57.0,42.4
193698,16.0,37.0,27.2
194404,16.0,115.0,32.8
197781,30.0,175.0,61.5
198717,31.0,85.0,58.9
199110,30.0,70.0,51.0
199482,23.0,60.0,45.4
199823,30.5,43.0,64.1
201305,25.0,44.0,52.5
201519,29.5,66.0,52.4
202651,32.5,42.0,68.3
203486,30.5,75.0,51.9
205069,27.5,90.0,50.9
205070,30.0,51.0,63.0
208128,35.0,115.0,62.1
208333,35.0,72.0,62.1
208421,39.5,68.0,
208461,25.5,59.0,43.4
209981,20.5,29.0,43.1
210035,37.0,18.0,76.8
210413,31.5,49.0,55.9
210935,33.5,51.0,57.0
211256,27.5,24.0,38.5
211515,35.0,48.0,
212190,40.5,78.0,69.9
212462,27.5,130.0,50.9
212523,35.5,61.0,63.0
212616,35.0,68.0,74.4
216547,30.5,22.0,61.0
219693,30.5,37.0,66.3
220018,32.5,54.0,55.3
220440,37.5,145.0,79.7
220697,41.5,100.0,82.0
222077,42.0,74.0,72.5
222665,49.0,89.0,102.9
224293,46.0,89.0,90.9
224458,46.0,120.0,88.6
225100,43.5,100.0,89.2
226271,42.0,77.0,74.6
227796,49.0,120.0,100.5
229391,41.0,18.0,85.1
229558,64.0,70.0,118.4
229668,35.5,62.0,75.4
229906,41.5,75.0,82.0
229984,40.5,100.0,78.0
230168,10.0,20.0,19.0
230375,25.5,41.0,48.5
230869,34.5,24.0,75.0
231943,46.5,100.0,91.8
232488,41.5,51.0,
233096,35.0,100.0,62.1
233419,46.0,89.0,90.9
233731,45.0,37.0,97.9
234378,43.0,69.0,84.9
234396,57.0,59.0,105.5
234943,46.0,36.0,81.7
235410,44.0,37.0,95.7
235569,46.0,95.0,90.9
236792,36.0,81.0,71.1
240130,56.5,130.0,127.1
241461,68.5,120.0,140.4
241464,56.5,35.0,130.0
241671,35.0,1.0,79.6
244260,46.0,78.0,81.7
45186,8.5,23.0,17.9
124375,11.0,39.0,20.9
139068,12.0,14.0,18.0
153244,11.0,50.0,17.6
156519,21.0,63.0,43.1
163489,4.4,32.0,7.5
163705,2.9,24.0,5.5
167664,16.5,14.0,24.8
171791,4.6,30.0,8.7
172871,8.5,18.0,17.0
176266,9.0,64.0,15.3
178086,4.4,14.0,8.8
181458,20.5,105.0,34.9
181872,12.0,105.0,20.4
183574,16.5,45.0,29.7
184200,21.0,48.0,35.7
187754,16.0,2.0,33.6
190674,21.5,43.0,40.9
192366,12.5,18.0,25.0
193283,22.0,34.0,46.2
193314,17.0,28.0,35.7
193983,25.5,49.0,48.5
195365,24.5,83.0,41.7
195859,26.5,90.0,50.4
197965,21.0,19.0,42.0
198164,21.5,15.0,34.4
198710,25.5,105.0,48.5
199304,22.5,83.0,37.1
199564,22.5,140.0,46.1
199987,13.0,33.0,27.3
200260,25.5,26.0,35.7
200454,28.0,45.0,58.8
200724,17.5,140.0,35.9
200888,22.0,85.0,40.7
200949,26.0,105.0,49.4
201095,8.5,14.0,17.0
202695,24.5,46.0,48.4
203551,22.0,58.0,
204120,13.0,2.0,27.3
204311,30.0,75.0,59.3
204525,21.0,33.0,44.1
204638,24.5,79.0,43.5
205175,30.0,81.0,
205569,33.5,69.0,66.2
205659,23.5,32.0,41.7
205678,21.5,50.0,43.0
206511,26.5,66.0,47.0
207439,28.0,81.0,53.9
208330,28.0,45.0,58.8
208448,25.5,87.0,43.4
208596,30.0,61.0,53.3
208618,25.0,170.0,51.3
209297,22.5,120.0,41.6
210008,30.0,87.0,51.8
210385,25.5,24.0,55.5
210406,29.5,74.0,52.4
210411,30.5,19.0,63.3
210463,26.0,34.0,54.6
211300,34.5,130.0,66.4
211990,23.5,14.0,48.8
212194,36.0,64.0,63.9
214979,23.5,44.0,41.7
215330,31.0,76.0,
216201,30.0,39.0,65.3
216409,27.5,74.0,46.8
216475,16.5,41.0,34.7
217940,24.0,36.0,52.2
220093,25.0,55.0,42.5
220407,13.0,40.0,24.7
221363,38.5,110.0,74.1
221479,37.5,90.0,74.1
221992,31.0,77.0,55.0
223952,20.5,30.0,44.6
224081,32.5,82.0,64.2
224411,39.0,39.0,84.8
225375,33.5,65.0,59.5
226110,30.5,95.0,60.2
226166,34.5,65.0,61.2
226226,35.5,95.0,70.1
227127,26.0,31.0,56.6
227950,28.0,33.0,60.9
228251,38.0,61.0,67.5
230225,25.0,41.0,45.0
230256,22.5,24.0,42.8
230258,27.0,26.0,51.3
230294,25.5,28.0,48.5
230347,27.5,31.0,49.5
230430,25.5,56.0,45.9
231969,26.5,68.0,45.1
232411,39.0,72.0,69.2
233927,38.5,65.0,76.0
234153,51.5,39.0,118.5
234742,35.0,95.0,69.1
234906,38.5,65.0,76.0
235374,25.0,64.0,42.5
238074,37.0,76.0,71.2
239231,41.5,63.0,87.2
240950,51.5,19.0,113.3
241852,52.5,52.0,99.8
245279,32.5,79.0,64.2
247263,48.5,49.0,92.2
247394,58.0,72.0,107.3
251573,36.5,49.0,77.6
251854,54.0,51.0,121.5
1179,2.3,18.0,4.1
140233,2.3,27.0,3.9
148119,2.3,26.0,3.7
162347,9.5,88.0,18.1
169588,10.0,95.0,19.0
171579,10.5,36.0,22.1
171877,13.0,35.0,26.0
172522,14.5,38.0,30.5
173426,7.0,24.0,9.8
176676,11.0,135.0,22.6
177388,10.0,51.0,19.0
177509,7.0,19.0,14.0
177604,6.5,26.0,13.7
178518,13.0,29.0,19.5
182493,5.5,27.0,9.4
182494,2.3,32.0,4.6
183855,10.0,70.0,19.0
184941,17.0,105.0,28.9
185020,10.0,61.0,17.0
186561,20.0,81.0,33.0
187598,17.5,51.0,29.8
189117,14.0,46.0,23.8
189271,20.0,39.0,42.0
189690,3.6,48.0,6.8
190972,20.5,23.0,28.7
193061,20.0,23.0,36.0
196432,6.0,15.0,8.4
197225,16.5,12.0,24.8
197242,,,
198009,18.0,64.0,31.1
198031,20.5,19.0,41.0
198141,17.5,28.0,36.8
198950,20.5,95.0,
198951,20.5,30.0,31.8
199042,14.0,53.0,23.8
199254,21.0,46.0,35.7
201119,15.5,1.0,32.6
201143,19.5,37.0,42.4
201400,21.0,86.0,38.9
201922,18.0,34.0,30.6
202024,20.5,58.0,34.9
202166,24.5,83.0,47.2
202325,18.0,66.0,30.6
203890,18.5,56.0,37.9
203895,20.5,13.0,30.8
203980,21.0,2.0,44.1
204399,13.5,26.0,18.9
204970,21.0,64.0,33.6
205600,19.5,125.0,40.0
205686,20.5,35.0,41.0
205693,24.5,23.0,36.1
205705,14.5,17.0,29.0
205849,16.0,43.0,26.8
207599,20.0,84.0,39.5
207732,20.5,38.0,43.1
207877,21.5,14.0,32.3
208808,20.5,68.0,32.8
209519,24.5,59.0,48.4
209960,17.5,25.0,39.8
210455,22.0,81.0,43.5
211117,26.5,90.0,52.3
212151,21.0,48.0,37.3
212187,22.0,22.0,32.5
212814,21.0,19.0,42.0
213661,28.0,95.0,53.9
214584,3.6,17.0,5.0
215223,18.0,32.0,35.6
215316,14.5,31.0,30.5
216189,18.5,32.0,38.9
217870,20.5,63.0,34.9
219683,24.5,78.0,42.3
219953,20.5,26.0,43.1
220182,24.5,64.0,48.4
220971,27.5,110.0,52.9
221087,16.5,44.0,
221660,23.0,105.0,44.3
222331,26.5,67.0,47.0
222716,28.0,17.0,58.1
223724,19.0,34.0,32.3
223816,23.0,79.0,39.1
223959,26.5,77.0,
224179,21.5,34.0,45.2
224309,24.5,33.0,53.3
225085,28.0,42.0,55.3
225201,25.0,32.0,54.4
225953,30.0,82.0,59.3
226491,31.0,69.0,65.1
226754,30.0,41.0,53.3
227290,16.0,26.0,34.8
227813,29.5,95.0,56.8
227928,22.0,81.0,43.5
229237,25.0,54.0,44.4
229261,30.5,28.0,58.0
229582,26.5,52.0,47.0
229857,27.5,95.0,48.8
229927,30.0,41.0,59.3
230201,21.0,33.0,39.9
230204,17.0,33.0,30.6
230271,25.0,23.0,47.5
230313,10.0,32.0,19.0
230767,33.0,38.0,69.3
231447,33.0,59.0,58.6
232119,25.0,88.0,49.4
232293,43.0,66.0,81.7
233195,27.5,53.0,48.8
233306,36.0,70.0,73.8
236401,29.5,17.0,43.5
236583,17.5,14.0,29.3
236987,31.0,30.0,65.1
237238,27.5,90.0,52.9
237383,44.5,77.0,84.6
238794,46.5,120.0,104.6
239207,32.0,40.0,69.6
240709,32.0,59.0,56.8
240900,27.0,26.0,58.7
241084,33.5,16.0,73.7
241095,33.5,66.0,70.4
243576,40.5,80.0,
244369,33.5,1.0,80.4
244470,19.0,73.0,36.1
246669,45.5,50.0,95.6
41,5.5,10.0,7.2
138412,7.0,76.0,13.0
156616,6.0,41.0,10.8
158121,5.5,24.0,11.0
159145,7.5,38.0,12.8
162240,11.0,21.0,17.1
170890,6.0,11.0,9.0
173221,8.0,25.0,13.6
176550,8.5,48.0,14.5
176635,14.0,55.0,26.6
176919,1.9,26.0,3.0
178509,8.5,48.0,14.5
184484,14.5,83.0,27.6
186682,8.5,26.0,17.9
187052,12.5,2.0,26.3
188041,11.5,49.0,18.4
188042,11.0,24.0,15.4
189560,8.5,34.0,17.9
189615,12.5,66.0,23.8
189682,12.0,39.0,22.8
189805,17.0,34.0,
190584,12.5,34.0,26.3
190717,15.0,79.0,28.5
190745,11.5,16.0,20.7
190813,17.5,64.0,29.8
191202,11.5,100.0,21.3
191740,14.5,78.0,26.8
192064,17.0,32.0,27.2
192123,17.5,48.0,33.3
192598,15.0,32.0,24.0
192638,15.0,95.0,27.8
192789,15.0,34.0,31.5
192906,6.0,18.0,9.0
193198,15.0,30.0,31.5
193348,17.0,75.0,32.3
194209,8.5,2.0,17.9
194333,5.5,23.0,9.9
196978,17.5,53.0,33.3
198230,5.5,26.0,11.6
198329,17.0,83.0,32.3
198784,18.5,100.0,34.2
198946,11.5,85.0,19.6
199354,14.0,28.0,29.4
199503,15.5,80.0,29.5
200315,17.0,30.0,35.7
200726,13.0,41.0,
201455,17.5,58.0,35.9
202048,17.5,80.0,34.6
202335,17.5,81.0,34.6
202477,18.5,22.0,33.3
202648,20.0,24.0,43.5
202750,14.5,76.0,27.6
202857,14.5,60.0,24.7
202935,12.0,40.0,22.8
203299,17.0,46.0,28.9
203483,17.5,21.0,24.5
204024,14.5,31.0,24.7
204234,13.5,20.0,29.4
204259,15.5,53.0,
204538,17.0,13.0,25.5
204884,19.0,105.0,36.6
205923,16.0,85.0,30.4
206413,12.5,1.0,26.3
206467,18.0,38.0,30.6
206545,17.0,39.0,35.7
206585,19.0,76.0,36.6
207494,17.5,115.0,32.4
208104,15.0,15.0,31.1
208135,17.5,87.0,33.3
208165,17.5,51.0,31.1
209846,16.0,32.0,28.8
210315,23.0,26.0,50.0
210324,17.5,35.0,29.8
210513,17.5,17.0,27.1
210625,21.0,59.0,37.3
210897,20.5,16.0,42.5
211022,18.5,33.0,38.9
211241,15.5,35.0,32.6
211748,18.5,55.0,31.5
212096,17.5,35.0,31.5
212382,20.5,23.0,32.3
212404,18.5,77.0,30.5
212442,15.0,65.0,29.6
213516,21.0,20.0,43.6
214047,17.0,17.0,34.0
216145,16.0,47.0,28.4
216150,15.5,51.0,26.4
216388,26.5,41.0,52.3
216531,18.0,19.0,36.0
218339,23.0,56.0,40.8
219789,15.5,49.0,29.5
219809,19.5,95.0,
220253,21.0,33.0,45.7
220523,19.0,76.0,37.5
220673,22.0,25.0,47.9
220793,19.5,77.0,38.5
221491,22.5,26.0,39.9
222028,23.0,16.0,47.7
222501,21.5,84.0,42.5
223249,5.5,18.0,8.3
223578,14.0,36.0,29.4
223597,16.0,53.0,30.4
224031,16.0,59.0,27.2
224196,21.0,31.0,37.3
224490,22.0,32.0,43.5
225116,30.0,40.0,57.0
225508,17.5,100.0,33.7
225663,24.5,53.0,48.4
226162,26.5,61.0,52.3
226221,18.5,34.0,40.2
226300,19.0,23.0,39.4
226456,23.0,69.0,45.4
226851,21.5,64.0,37.1
228093,27.5,29.0,52.3
228520,20.5,36.0,44.6
228687,25.5,37.0,50.4
230184,19.0,12.0,36.1
230216,15.5,32.0,29.5
230234,17.0,26.0,32.3
230251,18.5,15.0,35.2
230312,12.0,26.0,22.8
230498,21.0,27.0,39.9
232432,27.0,130.0,57.4
232580,24.0,65.0,47.4
232665,23.5,29.0,51.1
232730,24.0,29.0,42.6
232756,25.0,35.0,47.5
233738,24.0,29.0,52.2
234035,21.5,120.0,
234236,23.5,57.0,41.7
234612,25.0,36.0,49.4
235073,21.5,36.0,38.2
235688,23.0,15.0,47.7
236480,24.5,50.0,48.4
236506,25.0,12.0,42.5
236572,25.0,10.0,39.4
236610,39.5,69.0,
236632,25.0,19.0,36.9
237239,21.0,32.0,45.7
237942,26.0,29.0,59.8
239301,25.0,16.0,40.0
239433,23.0,30.0,50.0
240243,35.5,48.0,79.9
240679,24.5,41.0,43.5
241637,28.0,41.0,58.8
241788,18.0,19.0,36.0
242516,28.0,19.0,44.8
243812,38.5,115.0,86.6
244067,33.0,42.0,62.7
247204,25.0,70.0,49.4
247851,24.5,52.0,48.4
251809,25.5,27.0,53.6
252371,37.0,21.0,70.3
255475,39.5,17.0,63.2
24630,1.6,27.0,2.7
146439,6.0,27.0,13.2
152908,4.3,42.0,8.2
156433,1.6,8.0,2.7
159261,4.8,19.0,8.2
163155,1.6,27.0,3.0
165229,3.7,19.0,7.4
167397,6.0,19.0,13.2
170368,14.0,30.0,29.4
171897,4.8,24.0,10.1
172962,13.5,56.0,21.6
173306,5.0,41.0,8.5
173909,6.5,46.0,11.1
174543,1.6,13.0,3.4
175254,11.5,22.0,20.7
175379,6.5,10.0,10.4
176772,7.0,17.0,14.0
177633,7.0,31.0,15.4
178007,5.5,22.0,9.4
178088,9.0,100.0,16.7
178213,11.0,33.0,23.1
178224,9.0,12.0,13.5
178250,4.0,7.0,6.2
178415,8.5,28.0,11.9
180216,9.5,69.0,18.1
180334,4.6,55.0,8.7
183394,10.0,51.0,19.0
184392,10.0,77.0,17.0
185103,4.3,55.0,7.3
186197,13.5,32.0,27.0
186801,9.5,51.0,18.1
187607,,,
187936,9.5,47.0,16.2
188335,14.0,34.0,29.4
189053,9.0,38.0,
189125,11.5,52.0,19.6
189280,10.0,36.0,19.0
189505,9.0,61.0,15.3
189606,7.0,46.0,11.9
189881,9.5,47.0,16.2
190243,4.6,39.0,7.8
191180,11.0,23.0,23.1
192045,12.0,44.0,19.2
192678,12.0,33.0,25.2
192679,10.0,24.0,21.0
193171,7.5,26.0,16.5
193361,13.5,35.0,23.0
193408,14.0,18.0,28.0
193469,9.0,24.0,18.9
194222,9.5,25.0,20.9
195096,13.5,29.0,27.0
197837,11.5,42.0,19.6
198657,12.5,21.0,25.0
198658,15.0,13.0,22.5
199189,16.0,95.0,30.8
199206,9.0,42.0,17.1
199576,12.0,53.0,22.8
199652,15.0,87.0,
199715,11.5,50.0,
199915,13.0,56.0,25.7
200155,14.0,29.0,19.6
200159,12.0,22.0,22.5
201042,12.5,48.0,23.8
201417,12.5,77.0,23.8
201995,14.0,58.0,23.8
202849,13.5,83.0,26.7
203605,12.5,35.0,21.3
203747,17.0,69.0,
203843,7.5,28.0,15.8
204082,13.5,56.0,24.0
204614,12.0,54.0,20.4
205192,16.0,26.0,34.8
205409,2.4,12.0,
205966,15.0,59.0,
206534,15.0,82.0,28.5
206590,15.0,33.0,31.5
206651,11.0,30.0,23.1
207566,12.0,25.0,25.2
208268,17.5,47.0,31.1
208295,9.5,69.0,18.1
208334,10.0,28.0,18.0
208364,12.5,27.0,17.5
208920,16.5,95.0,31.8
209288,14.0,30.0,28.0
209973,14.5,23.0,21.8
210372,14.0,47.0,26.6
210537,14.0,61.0,23.8
210665,12.0,64.0,20.4
210736,15.0,85.0,
210881,16.5,58.0,32.6
210930,14.0,11.0,21.0
211591,20.5,57.0,40.5
212207,14.0,1.0,29.4
212213,12.5,15.0,25.0
212419,14.0,61.0,27.7
213160,15.0,51.0,25.1
213331,17.5,43.0,31.1
213577,14.0,27.0,29.4
213874,12.0,57.0,22.8
213951,10.5,12.0,21.8
213956,18.5,79.0,36.5
214040,12.0,18.0,16.8
214092,17.5,46.0,31.1
214097,16.0,47.0,31.6
214766,9.0,18.0,12.6
215353,14.5,56.0,24.7
215590,15.0,95.0,28.5
216194,11.5,29.0,24.2
216320,17.5,32.0,36.3
216643,15.0,55.0,29.6
217036,12.5,25.0,26.3
217546,12.0,16.0,24.0
219581,16.0,51.0,26.8
219733,16.5,29.0,34.2
219792,15.5,43.0,30.6
219985,13.5,88.0,23.0
220883,19.0,32.0,33.7
221697,21.0,67.0,41.5
221832,15.0,13.0,25.1
222493,15.5,29.0,29.1
222558,16.5,51.0,29.3
222943,14.0,58.0,23.8
223053,9.0,28.0,15.3
223273,18.0,48.0,32.0
224003,12.0,24.0,26.1
224069,14.0,68.0,26.6
224254,18.5,20.0,27.3
224371,21.0,57.0,41.5
225263,19.0,31.0,37.5
225341,16.0,28.0,34.8
225659,15.0,24.0,32.6
225711,17.5,62.0,33.7
225719,20.5,83.0,40.5
226766,18.5,79.0,36.5
226789,20.0,23.0,41.5
227055,16.5,50.0,32.6
227174,20.0,50.0,39.5
227535,21.0,61.0,36.2
227678,20.0,50.0,42.0
227890,16.5,17.0,34.2
228336,18.5,35.0,32.8
228413,15.0,14.0,26.6
228881,18.0,31.0,32.0
229909,11.0,39.0,19.5
230183,15.0,20.0,28.5
230206,7.5,37.0,13.5
230212,14.5,20.0,27.6
230285,13.5,35.0,24.3
230360,15.0,13.0,28.5
230385,14.0,45.0,26.6
230406,15.5,38.0,27.9
230426,16.5,30.0,29.7
230440,9.0,43.0,17.1
230442,17.0,14.0,32.3
230460,16.5,33.0,29.7
231340,21.0,23.0,48.3
231352,31.5,49.0,59.9
231410,31.5,30.0,59.9
231691,17.5,18.0,36.3
231887,20.5,36.0,40.5
232080,22.0,66.0,46.2
232487,13.5,29.0,25.3
233486,19.0,26.0,41.3
234060,22.0,90.0,
234835,17.5,24.0,38.1
235353,31.0,53.0,65.1
236045,15.0,34.0,29.6
236355,26.0,44.0,49.4
236791,18.5,33.0,32.8
237678,29.5,73.0,60.5
238067,31.5,38.0,59.9
238463,21.0,58.0,37.3
238476,20.5,42.0,39.0
238616,28.5,62.0,59.9
239380,28.5,27.0,45.6
239613,28.0,42.0,53.2
239817,27.0,68.0,56.7
240699,22.0,17.0,35.2
240753,29.0,29.0,60.9
241184,18.5,59.0,36.5
241727,16.5,20.0,34.2
242187,22.5,27.0,42.8
242201,17.5,24.0,38.1
243238,7.0,1.0,14.7
243559,22.0,26.0,50.6
243630,32.0,31.0,67.2
244193,31.0,15.0,68.2
244253,28.0,31.0,64.4
244467,15.0,0.9,32.6
244622,28.0,19.0,64.4
245630,21.5,43.0,42.5
246104,33.0,11.0,52.8
246147,30.5,56.0,62.5
246430,29.0,43.0,55.1
246646,31.5,44.0,66.2
246844,19.0,23.0,41.3
248243,29.5,44.0,66.4
248695,29.0,57.0,60.9
252145,29.0,8.0,
256630,29.5,18.0,56.1
20775,3.4,10.0,7.1
49000,1.2,23.0,2.2
146748,1.2,9.0,2.5
146758,3.6,23.0,7.6
154472,3.6,19.0,7.6
158963,3.0,11.0,6.0
165109,3.4,48.0,5.8
170370,8.5,10.0,12.8
170597,3.4,27.0,6.8
172114,4.3,7.0,6.5
172879,5.0,1.0,10.5
173432,5.0,43.0,8.0
173521,3.4,13.0,6.8
173608,9.0,27.0,19.8
176600,5.0,27.0,10.0
177326,3.4,1.0,7.1
179605,8.5,15.0,17.0
179789,5.0,51.0,9.5
180714,1.2,22.0,1.9
180808,3.4,1.0,7.1
181098,2.1,19.0,3.6
181820,9.0,47.0,15.3
183353,5.5,22.0,11.6
183899,8.5,22.0,17.9
184703,4.2,19.0,7.1
184858,8.5,15.0,13.2
185221,5.0,43.0,9.5
185239,7.0,13.0,11.2
188044,9.0,27.0,14.4
188081,9.0,46.0,17.1
188103,10.0,24.0,21.0
188988,10.5,64.0,20.0
189068,8.5,29.0,11.9
189250,9.0,77.0,17.1
189472,7.0,26.0,14.7
190143,7.5,26.0,15.8
190149,7.5,25.0,15.8
190432,3.0,19.0,6.3
190577,6.5,10.0,9.8
190875,4.9,33.0,
192342,10.5,19.0,14.7
192816,8.5,19.0,17.9
193254,3.9,29.0,7.0
193290,10.5,120.0,21.5
193601,8.5,22.0,17.9
194022,9.0,13.0,18.0
194229,9.0,22.0,18.9
194806,7.0,56.0,13.3
194932,10.5,74.0,20.0
194958,10.0,25.0,15.5
195093,10.5,35.0,
195272,9.5,27.0,16.2
195479,9.5,50.0,17.1
196147,4.5,15.0,7.0
197083,6.5,26.0,11.7
197948,8.5,23.0,18.7
198118,9.0,50.0,15.3
198129,7.0,43.0,11.2
198140,10.5,51.0,16.8
199005,8.5,25.0,18.5
199069,10.5,44.0,17.9
199580,10.0,50.0,18.8
199641,8.5,20.0,17.6
200094,,,
200110,8.0,16.0,16.6
200215,9.0,26.0,15.3
200536,9.5,48.0,16.2
201315,8.5,43.0,13.6
201325,1.2,18.0,2.0
201377,9.5,20.0,
201454,9.0,51.0,15.3
201505,7.0,19.0,14.7
202282,10.5,54.0,20.0
202371,9.5,48.0,16.2
