sofifa_id,work_rate,overall,potential,pace,shooting,passing,dribbling,defending,physic,defending_sliding_tackle,skill_moves,weak_foot_points
212218,Medium/Medium,86,89,63.0,50.0,72.0,69.0,86.0,80.0,86,2,3
213345,Medium/Medium,86,87,93.0,76.0,79.0,88.0,30.0,60.0,21,4,3
218667,High/High,86,87,80.0,76.0,83.0,91.0,54.0,67.0,45,4,3
226161,High/Medium,86,89,88.0,80.0,81.0,82.0,78.0,82.0,74,3,4
231866,Medium/High,86,89,61.0,70.0,77.0,78.0,82.0,82.0,78,3,4
232363,Medium/High,86,88,80.0,41.0,53.0,69.0,87.0,84.0,82,2,3
143076,High/Medium,85,85,87.0,78.0,84.0,87.0,39.0,55.0,34,4,4
163587,Medium/Medium,85,85,,,,,,,13,1,3
164240,Medium/High,85,85,53.0,54.0,72.0,72.0,86.0,78.0,84,2,3
168542,High/Medium,85,85,63.0,74.0,87.0,87.0,52.0,53.0,29,4,2
177683,Medium/Medium,85,85,,,,,,,12,1,4
179813,High/High,85,85,66.0,86.0,70.0,76.0,51.0,79.0,39,3,4
183277,Medium/Medium,85,85,84.0,80.0,82.0,88.0,35.0,63.0,22,4,4
184344,Medium/High,85,85,64.0,58.0,69.0,72.0,86.0,80.0,81,2,4
185122,Medium/Medium,85,85,,,,,,,20,1,2
186942,High/Medium,85,85,65.0,80.0,85.0,86.0,73.0,72.0,67,4,4
188350,High/Medium,85,85,73.0,84.0,84.0,85.0,47.0,63.0,54,4,4
188377,High/High,85,85,92.0,63.0,76.0,78.0,80.0,82.0,83,3,2
188567,Medium/Low,85,85,89.0,85.0,75.0,80.0,35.0,69.0,36,4,4
193747,Medium/Medium,85,85,70.0,75.0,85.0,81.0,79.0,80.0,70,3,4
194765,Medium/Medium,85,85,80.0,84.0,84.0,87.0,52.0,72.0,49,4,3
198176,Medium/High,85,85,72.0,41.0,64.0,70.0,87.0,79.0,85,2,3
201942,High/High,85,85,77.0,78.0,79.0,89.0,59.0,78.0,42,5,4
202556,High/Low,85,86,82.0,83.0,82.0,84.0,30.0,79.0,20,5,3
204963,High/Medium,85,85,80.0,54.0,78.0,80.0,81.0,80.0,84,3,3
205498,Medium/Medium,85,85,55.0,67.0,86.0,81.0,73.0,73.0,71,3,3
206113,High/Medium,85,86,83.0,84.0,79.0,86.0,43.0,69.0,43,4,4
223848,High/Medium,85,87,68.0,79.0,80.0,81.0,79.0,86.0,74,4,5
226790,Medium/High,85,88,67.0,62.0,69.0,74.0,87.0,83.0,85,3,4
230142,High/Medium,85,89,82.0,82.0,81.0,84.0,41.0,63.0,30,3,3
231478,High/Medium,85,89,84.0,81.0,72.0,85.0,48.0,84.0,44,4,4
231677,High/Medium,85,89,90.0,84.0,79.0,84.0,43.0,77.0,33,5,3
235212,High/Medium,85,88,95.0,71.0,78.0,83.0,76.0,78.0,76,3,4
235243,Medium/High,85,90,73.0,59.0,60.0,69.0,84.0,87.0,85,2,3
41236,Medium/Low,84,84,65.0,87.0,78.0,79.0,34.0,77.0,24,5,4
146536,High/Medium,84,84,87.0,69.0,81.0,83.0,79.0,58.0,79,4,2
152729,High/Medium,84,84,58.0,61.0,71.0,68.0,85.0,78.0,83,2,3
175943,High/Low,84,84,85.0,82.0,80.0,88.0,34.0,50.0,40,4,4
181291,High/High,84,84,77.0,75.0,80.0,86.0,79.0,79.0,70,4,4
183711,High/High,84,84,66.0,74.0,83.0,79.0,78.0,81.0,76,3,3
184134,Medium/Medium,84,84,66.0,62.0,75.0,74.0,83.0,82.0,83,3,3
186345,Medium/Medium,84,84,73.0,63.0,82.0,77.0,80.0,72.0,80,3,4
192629,High/High,84,84,82.0,85.0,79.0,86.0,35.0,63.0,18,3,4
193080,Medium/Medium,84,84,,,,,,,13,1,3
197445,Medium/Medium,84,84,77.0,70.0,81.0,80.0,83.0,76.0,82,3,4
198706,Medium/Medium,84,84,60.0,76.0,86.0,84.0,57.0,59.0,52,4,3
199434,Medium/Medium,84,84,69.0,81.0,85.0,85.0,43.0,76.0,26,4,3
199451,High/Low,84,84,82.0,84.0,77.0,87.0,39.0,70.0,26,4,5
200458,High/Medium,84,84,79.0,69.0,80.0,80.0,80.0,76.0,84,3,2
200647,Medium/Medium,84,84,75.0,86.0,84.0,86.0,40.0,67.0,26,5,4
202811,Medium/Medium,84,85,,,,,,,20,1,4
203263,High/High,84,86,50.0,55.0,69.0,70.0,85.0,87.0,78,2,3
204639,Medium/High,84,84,64.0,35.0,57.0,58.0,87.0,76.0,83,2,3
204923,High/High,84,85,78.0,84.0,81.0,80.0,67.0,78.0,59,3,4
205988,High/Medium,84,86,79.0,54.0,79.0,80.0,81.0,80.0,79,3,2
206517,High/Medium,84,85,80.0,76.0,83.0,88.0,46.0,64.0,43,4,3
207862,Medium/Medium,84,85,62.0,58.0,72.0,66.0,86.0,79.0,79,2,3
207863,Low/High,84,84,61.0,41.0,58.0,62.0,85.0,84.0,82,2,3
208418,High/High,84,84,88.0,81.0,78.0,85.0,45.0,67.0,35,4,4
208574,High/High,84,84,88.0,77.0,82.0,83.0,68.0,80.0,68,3,2
208670,High/High,84,84,78.0,76.0,87.0,83.0,50.0,65.0,40,5,2
209889,High/Low,84,84,75.0,77.0,85.0,88.0,76.0,58.0,78,4,2
210243,High/High,84,84,83.0,67.0,78.0,82.0,80.0,75.0,83,3,4
212188,High/Medium,84,87,91.0,81.0,70.0,82.0,35.0,70.0,19,3,4
215698,Medium/Medium,84,89,,,,,,,19,1,4
216352,Medium/Medium,84,84,69.0,74.0,80.0,79.0,79.0,78.0,80,3,4
216393,Medium/Medium,84,87,63.0,79.0,86.0,80.0,71.0,72.0,69,4,5
216460,Medium/High,84,88,69.0,45.0,57.0,59.0,86.0,80.0,86,2,3
216594,High/Medium,84,84,83.0,83.0,82.0,87.0,38.0,79.0,30,4,4
222492,Medium/Low,84,87,90.0,81.0,79.0,85.0,38.0,68.0,35,4,2
224232,High/High,84,89,78.0,71.0,79.0,86.0,75.0,78.0,79,3,3
224334,High/High,84,84,76.0,74.0,82.0,87.0,79.0,82.0,82,4,3
228941,Medium/Medium,84,85,74.0,84.0,69.0,83.0,45.0,77.0,21,4,3
230938,High/High,84,86,78.0,74.0,74.0,80.0,82.0,87.0,78,3,4
232656,High/Medium,84,90,93.0,71.0,76.0,81.0,77.0,82.0,80,3,3
235790,Medium/Medium,84,92,82.0,78.0,79.0,84.0,45.0,66.0,38,4,4
237692,High/Medium,84,92,84.0,78.0,80.0,87.0,56.0,57.0,47,4,3
135507,Medium/High,83,83,59.0,72.0,75.0,78.0,84.0,75.0,80,3,4
169416,High/Low,83,83,80.0,82.0,78.0,84.0,31.0,67.0,14,4,2
177413,Medium/Medium,83,83,61.0,72.0,81.0,79.0,82.0,79.0,80,4,4
178750,Medium/Medium,83,83,,,,,,,14,1,3
179645,Low/High,83,83,67.0,55.0,64.0,59.0,85.0,78.0,81,2,3
180930,Medium/Medium,83,83,66.0,83.0,72.0,78.0,45.0,76.0,16,3,5
183907,Medium/Medium,83,83,72.0,50.0,73.0,67.0,84.0,79.0,84,2,4
184087,Medium/Medium,83,83,58.0,55.0,70.0,67.0,86.0,77.0,84,2,3
184432,Medium/Medium,83,83,66.0,55.0,76.0,72.0,84.0,76.0,84,2,3
187961,High/High,83,83,72.0,81.0,77.0,81.0,80.0,85.0,75,4,4
189575,High/Medium,83,83,81.0,76.0,82.0,87.0,51.0,61.0,38,4,3
190286,High/Medium,83,83,83.0,80.0,85.0,82.0,67.0,71.0,58,4,3
190941,Medium/Medium,83,83,,,,,,,13,1,3
191043,High/Medium,83,83,81.0,65.0,77.0,79.0,78.0,79.0,80,3,3
192563,Medium/Medium,83,84,,,,,,,18,1,3
192774,Low/Medium,83,83,81.0,25.0,44.0,62.0,85.0,81.0,87,2,2
192883,Medium/Medium,83,83,85.0,80.0,79.0,83.0,56.0,74.0,55,4,5
193082,High/Medium,83,83,90.0,75.0,77.0,87.0,76.0,72.0,83,5,3
197061,Medium/Medium,83,83,58.0,46.0,68.0,68.0,85.0,78.0,81,2,2
197655,Medium/Medium,83,83,68.0,49.0,55.0,63.0,84.0,87.0,85,2,3
199845,Medium/High,83,83,63.0,50.0,62.0,64.0,86.0,83.0,85,3,3
199914,Medium/High,83,83,72.0,71.0,77.0,82.0,80.0,79.0,82,4,3
200610,High/High,83,83,73.0,85.0,79.0,80.0,42.0,86.0,33,3,4
201153,Medium/Medium,83,83,82.0,80.0,72.0,81.0,31.0,77.0,20,3,4
201399,Medium/Medium,83,83,69.0,83.0,65.0,77.0,36.0,69.0,20,3,4
202884,High/Medium,83,83,92.0,64.0,73.0,80.0,78.0,71.0,75,4,4
203574,High/Medium,83,86,70.0,51.0,71.0,74.0,84.0,78.0,82,3,4
203841,Medium/Medium,83,83,,,,,,,14,1,3
204838,High/High,83,83,72.0,82.0,76.0,81.0,47.0,82.0,30,3,4
204935,Medium/Medium,83,85,,,,,,,12,1,4
205452,Medium/High,83,84,75.0,43.0,68.0,64.0,84.0,84.0,82,2,3
205632,High/High,83,83,81.0,84.0,78.0,83.0,63.0,84.0,55,4,3
207410,High/High,83,84,70.0,69.0,83.0,88.0,69.0,70.0,66,4,4
209989,Medium/High,83,83,69.0,71.0,82.0,81.0,80.0,84.0,80,3,3
211688,High/Medium,83,86,83.0,61.0,77.0,80.0,79.0,73.0,84,4,3
213565,High/Medium,83,86,82.0,76.0,82.0,86.0,59.0,63.0,63,4,3
213648,Medium/High,83,86,60.0,71.0,76.0,76.0,81.0,82.0,72,3,4
214997,High/Medium,83,86,85.0,83.0,78.0,87.0,49.0,74.0,44,4,4
215333,High/Medium,83,83,80.0,81.0,61.0,78.0,35.0,84.0,22,3,4
216354,Medium/Medium,83,83,71.0,86.0,76.0,86.0,30.0,71.0,26,4,4
220651,High/High,83,86,78.0,71.0,82.0,84.0,76.0,70.0,80,4,3
220814,Low/High,83,86,77.0,54.0,68.0,71.0,84.0,79.0,86,2,3
220834,High/Medium,83,86,82.0,80.0,81.0,83.0,43.0,62.0,39,4,3
223689,High/High,83,83,63.0,83.0,59.0,70.0,52.0,86.0,30,2,3
223697,High/Medium,83,83,82.0,75.0,74.0,79.0,77.0,81.0,79,3,3
225193,High/High,83,87,74.0,78.0,81.0,82.0,82.0,81.0,76,3,3
225850,Medium/High,83,87,81.0,42.0,68.0,70.0,83.0,86.0,84,2,3
228618,High/High,83,86,92.0,64.0,76.0,79.0,78.0,84.0,80,4,5
229880,Medium/High,83,87,85.0,52.0,69.0,79.0,81.0,75.0,92,4,2
230481,Medium/Low,83,83,88.0,77.0,83.0,84.0,35.0,72.0,33,4,4
230658,Medium/Medium,83,85,69.0,67.0,83.0,88.0,72.0,70.0,71,4,3
230666,High/Medium,83,87,84.0,81.0,72.0,86.0,39.0,73.0,28,4,3
231443,High/Medium,83,88,93.0,77.0,77.0,86.0,36.0,56.0,33,5,5
233064,High/High,83,89,74.0,79.0,84.0,83.0,55.0,65.0,41,3,4
234642,Medium/Medium,83,85,,,,,,,13,1,2
235805,High/Medium,83,91,91.0,81.0,74.0,85.0,48.0,73.0,44,4,4
239053,High/High,83,89,86.0,74.0,78.0,79.0,77.0,80.0,76,3,4
241486,High/High,83,89,81.0,45.0,64.0,72.0,84.0,78.0,83,2,3
242444,Medium/Medium,83,91,82.0,79.0,76.0,86.0,40.0,68.0,35,5,4
120533,Medium/High,82,82,80.0,51.0,60.0,61.0,82.0,87.0,81,2,3
157481,Low/High,82,82,40.0,41.0,62.0,63.0,86.0,73.0,85,2,3
164835,Medium/Medium,82,82,,,,,,,13,1,2
168435,Medium/Medium,82,82,,,,,,,13,1,2
168651,Medium/Medium,82,82,57.0,79.0,85.0,78.0,75.0,69.0,72,3,4
173731,Medium/Medium,82,82,82.0,84.0,82.0,80.0,55.0,70.0,50,4,3
178005,Medium/Medium,82,82,,,,,,,11,1,2
178562,High/Medium,82,82,62.0,75.0,84.0,82.0,76.0,71.0,74,4,4
180206,Medium/Medium,82,82,65.0,68.0,83.0,81.0,75.0,67.0,71,3,4
183512,High/Medium,82,82,83.0,68.0,76.0,76.0,79.0,82.0,76,3,3
187072,Medium/Medium,82,82,61.0,84.0,81.0,81.0,60.0,73.0,55,4,4
188152,High/Medium,82,82,78.0,79.0,82.0,82.0,59.0,67.0,55,4,3
188943,Medium/Medium,82,82,,,,,,,10,1,4
189242,High/Medium,82,82,69.0,79.0,80.0,88.0,52.0,59.0,47,5,4
190460,Medium/Low,82,82,62.0,78.0,88.0,81.0,53.0,52.0,22,4,5
190815,High/Medium,82,82,45.0,64.0,82.0,79.0,83.0,72.0,80,3,3
192318,Medium/Medium,82,82,68.0,75.0,83.0,84.0,55.0,69.0,53,4,4
193105,Medium/Medium,82,84,,,,,,,12,1,3
193165,High/Medium,82,82,83.0,67.0,79.0,85.0,74.0,60.0,72,5,5
193301,High/High,82,82,75.0,82.0,74.0,82.0,44.0,72.0,32,4,4
193474,Medium/High,82,82,69.0,62.0,71.0,78.0,83.0,77.0,83,3,3
193525,High/Medium,82,82,82.0,61.0,74.0,78.0,79.0,79.0,83,3,3
193698,Medium/Medium,82,82,,,,,,,14,1,1
194404,Medium/Medium,82,82,,,,,,,15,1,2
197781,Medium/Low,82,82,66.0,75.0,80.0,88.0,59.0,59.0,51,4,3
198717,High/Medium,82,82,89.0,77.0,73.0,87.0,34.0,75.0,32,5,3
199110,High/Medium,82,82,89.0,83.0,74.0,86.0,27.0,67.0,22,4,4
199482,Medium/Medium,82,83,,,,,,,13,1,2
199823,Medium/Medium,82,82,68.0,74.0,83.0,82.0,71.0,72.0,62,4,3
201305,Low/High,82,82,67.0,49.0,71.0,65.0,84.0,83.0,82,2,2
201519,Medium/Medium,82,83,77.0,75.0,77.0,79.0,77.0,81.0,77,3,3
202651,High/Low,82,82,76.0,76.0,82.0,85.0,32.0,55.0,18,4,3
203486,High/High,82,82,80.0,76.0,80.0,85.0,52.0,66.0,48,4,4
205069,High/Medium,82,82,82.0,65.0,78.0,82.0,76.0,68.0,78,4,3
205070,High/High,82,82,90.0,78.0,77.0,79.0,59.0,79.0,59,3,4
208128,Medium/Medium,82,83,67.0,78.0,84.0,85.0,59.0,57.0,56,4,4
208333,Medium/High,82,83,78.0,78.0,78.0,80.0,84.0,87.0,86,3,4
208421,Medium/Medium,82,85,71.0,78.0,78.0,79.0,78.0,79.0,77,3,4
208461,Medium/High,82,82,66.0,68.0,71.0,73.0,82.0,83.0,81,3,3
209981,Medium/Medium,82,82,,,,,,,15,1,2
210035,High/Medium,82,85,87.0,65.0,81.0,83.0,74.0,71.0,74,3,2
210413,Medium/Medium,82,83,68.0,40.0,56.0,68.0,85.0,78.0,82,2,3
210935,Medium/Medium,82,82,79.0,80.0,81.0,85.0,36.0,69.0,30,4,3
211256,High/High,82,82,80.0,55.0,73.0,76.0,81.0,81.0,80,3,2
211515,Medium/Medium,82,87,,,,,,,19,1,2
212190,Medium/Medium,82,87,65.0,42.0,59.0,51.0,83.0,81.0,82,2,3
212462,High/Medium,82,82,83.0,73.0,82.0,78.0,77.0,73.0,76,3,2
212523,High/Low,82,83,80.0,83.0,81.0,83.0,52.0,75.0,42,4,4
212616,High/Medium,82,83,78.0,76.0,80.0,82.0,71.0,79.0,69,4,3
216547,High/Medium,82,82,94.0,73.0,74.0,86.0,50.0,52.0,39,4,3
219693,Medium/High,82,84,76.0,47.0,63.0,68.0,81.0,83.0,81,3,4
220018,High/Medium,82,82,86.0,83.0,75.0,81.0,48.0,80.0,31,4,4
220440,Medium/High,82,86,72.0,45.0,67.0,66.0,83.0,79.0,80,2,4
220697,High/Medium,82,85,75.0,78.0,84.0,84.0,54.0,60.0,42,4,4
222077,Medium/High,82,87,61.0,72.0,79.0,77.0,79.0,79.0,74,3,4
222665,High/Medium,82,88,77.0,74.0,83.0,84.0,58.0,62.0,51,5,2
224293,Low/High,82,87,59.0,75.0,85.0,77.0,74.0,73.0,70,3,4
224458,High/High,82,87,84.0,81.0,73.0,85.0,57.0,77.0,45,4,5
225100,Medium/Medium,82,88,81.0,30.0,66.0,69.0,83.0,78.0,82,3,3
226271,Medium/Medium,82,86,63.0,78.0,79.0,82.0,74.0,71.0,75,4,3
227796,Medium/Medium,82,88,89.0,70.0,73.0,86.0,37.0,59.0,47,4,4
229391,Medium/High,82,87,60.0,65.0,70.0,72.0,85.0,88.0,86,2,4
229558,High/Medium,82,90,81.0,43.0,62.0,68.0,81.0,81.0,90,2,3
229668,Medium/High,82,85,75.0,49.0,72.0,71.0,83.0,80.0,81,2,3
229906,High/Medium,82,85,93.0,78.0,74.0,84.0,33.0,64.0,18,4,4
229984,High/High,82,86,76.0,53.0,77.0,78.0,78.0,75.0,82,3,3
230168,Medium/Medium,82,82,,,,,,,13,1,2
230375,Medium/Medium,82,82,78.0,43.0,56.0,64.0,85.0,79.0,82,2,3
230869,Medium/Medium,82,86,,,,,,,12,1,3
231943,High/Medium,82,87,83.0,78.0,73.0,83.0,53.0,80.0,48,4,5
232488,Low/High,82,87,76.0,46.0,52.0,61.0,83.0,84.0,83,3,2
233096,High/Medium,82,84,80.0,61.0,66.0,72.0,78.0,89.0,77,2,3
233419,High/High,82,87,91.0,76.0,76.0,84.0,49.0,72.0,38,4,4
233731,High/Low,82,86,84.0,82.0,68.0,79.0,29.0,69.0,18,4,5
234378,Medium/High,82,87,66.0,53.0,71.0,74.0,81.0,79.0,80,2,3
234396,High/Low,82,89,96.0,67.0,71.0,82.0,75.0,75.0,79,4,4
234943,Medium/Medium,82,87,64.0,72.0,79.0,82.0,66.0,67.0,64,3,4
235410,High/High,82,86,78.0,83.0,58.0,78.0,35.0,76.0,27,3,4
235569,Medium/Medium,82,87,71.0,72.0,81.0,88.0,69.0,72.0,69,4,3
236792,High/High,82,85,64.0,72.0,74.0,74.0,82.0,85.0,79,3,3
240130,Medium/Medium,82,89,83.0,50.0,69.0,71.0,83.0,82.0,82,2,3
241461,High/Medium,82,90,82.0,79.0,78.0,82.0,35.0,66.0,28,4,4
241464,Medium/High,82,89,71.0,38.0,67.0,70.0,84.0,80.0,83,2,3
241671,Medium/Medium,82,87,,,,,,,21,1,3
244260,Medium/High,82,87,67.0,76.0,81.0,86.0,50.0,60.0,44,4,4
45186,High/Medium,81,81,68.0,80.0,84.0,81.0,44.0,55.0,39,4,3
124375,High/Medium,81,81,79.0,83.0,69.0,73.0,34.0,79.0,26,3,4
139068,High/Medium,81,81,70.0,77.0,81.0,85.0,37.0,68.0,20,5,5
153244,Medium/Medium,81,81,68.0,83.0,73.0,75.0,41.0,84.0,23,3,3
156519,Medium/Medium,81,81,70.0,75.0,76.0,76.0,78.0,84.0,67,3,4
163489,Medium/Medium,81,81,,,,,,,19,1,3
163705,Medium/Medium,81,81,,,,,,,13,1,3
167664,High/Medium,81,81,58.0,84.0,71.0,78.0,29.0,71.0,18,3,4
171791,Medium/High,81,81,32.0,46.0,62.0,63.0,83.0,77.0,78,2,3
172871,High/High,81,81,76.0,62.0,72.0,67.0,83.0,78.0,85,3,3
176266,Low/High,81,81,56.0,65.0,73.0,76.0,82.0,69.0,79,3,3
178086,Medium/Medium,81,81,,,,,,,18,1,2
181458,Medium/Medium,81,81,81.0,79.0,76.0,79.0,64.0,74.0,54,4,5
181872,High/High,81,81,65.0,79.0,79.0,79.0,82.0,82.0,83,3,4
183574,High/Low,81,81,64.0,81.0,81.0,82.0,40.0,66.0,29,4,4
184200,Medium/Low,81,81,79.0,81.0,79.0,78.0,44.0,82.0,39,4,4
187754,Medium/Low,81,81,79.0,76.0,78.0,86.0,47.0,68.0,42,5,3
190674,High/High,81,81,67.0,64.0,74.0,75.0,80.0,85.0,76,3,3
192366,Medium/High,81,81,63.0,57.0,62.0,59.0,83.0,81.0,80,2,3
193283,Low/High,81,81,75.0,71.0,74.0,74.0,83.0,82.0,84,2,4
193314,Medium/Medium,81,81,,,,,,,12,1,2
193983,High/High,81,81,84.0,82.0,73.0,75.0,37.0,85.0,25,3,3
195365,High/High,81,81,70.0,67.0,81.0,85.0,63.0,62.0,59,3,4
195859,High/High,81,81,79.0,84.0,70.0,80.0,45.0,70.0,34,3,4
197965,High/Medium,81,81,75.0,77.0,81.0,82.0,64.0,66.0,52,3,4
198164,High/Medium,81,81,82.0,75.0,79.0,82.0,63.0,69.0,55,4,4
198710,Medium/Medium,81,81,53.0,86.0,86.0,86.0,50.0,60.0,44,4,3
199304,Medium/High,81,81,73.0,67.0,73.0,74.0,82.0,79.0,82,3,4
199564,Medium/Medium,81,81,76.0,63.0,80.0,77.0,76.0,73.0,75,4,3
199987,Medium/Medium,81,81,,,,,,,11,1,3
200260,Medium/Medium,81,81,80.0,81.0,82.0,82.0,36.0,66.0,30,4,3
200454,Medium/Low,81,81,77.0,84.0,69.0,81.0,35.0,61.0,22,3,4
200724,Low/High,81,81,78.0,37.0,66.0,69.0,81.0,80.0,81,2,4
200888,Medium/High,81,81,64.0,63.0,71.0,73.0,80.0,86.0,68,3,3
200949,High/Medium,81,81,90.0,79.0,70.0,86.0,43.0,68.0,44,4,4
201095,Medium/Medium,81,81,,,,,,,15,1,3
202695,Low/High,81,82,57.0,45.0,67.0,65.0,82.0,81.0,80,2,4
203551,High/Medium,81,81,76.0,77.0,79.0,80.0,76.0,62.0,75,3,4
204120,Medium/Medium,81,81,,,,,,,18,1,3
204311,Medium/Medium,81,84,65.0,51.0,63.0,57.0,81.0,85.0,78,2,3
204525,Medium/Medium,81,81,71.0,56.0,66.0,64.0,81.0,79.0,84,2,3
204638,Medium/Medium,81,82,49.0,36.0,52.0,55.0,84.0,80.0,80,2,3
205175,Medium/Medium,81,82,64.0,84.0,67.0,76.0,39.0,71.0,32,4,3
205569,Medium/High,81,84,59.0,74.0,86.0,78.0,67.0,73.0,65,3,3
205659,Medium/Medium,81,83,,,,,,,12,1,3
205678,High/Medium,81,81,87.0,78.0,78.0,82.0,47.0,64.0,40,4,4
206511,High/Medium,81,82,65.0,81.0,79.0,78.0,76.0,74.0,74,3,2
207439,Medium/Medium,81,83,66.0,71.0,83.0,79.0,76.0,79.0,80,4,4
208330,Medium/Low,81,81,79.0,75.0,80.0,83.0,30.0,58.0,22,4,4
208448,Medium/Medium,81,81,70.0,73.0,82.0,83.0,35.0,62.0,20,4,4
208596,High/High,81,82,76.0,81.0,59.0,78.0,38.0,83.0,32,3,5
208618,High/Medium,81,81,82.0,73.0,79.0,80.0,69.0,69.0,66,4,4
209297,High/High,81,81,77.0,66.0,77.0,81.0,75.0,71.0,70,4,4
210008,Medium/Medium,81,82,76.0,74.0,76.0,80.0,76.0,79.0,75,3,3
210385,Medium/Medium,81,84,,,,,,,19,1,3
