sofifa_id,preferred_foot,body_type,age,height_cm,weight_kg
186345,Right,Normal (170-185),30,173,69
192629,Left,Lean (170-185),33,176,67
193080,Right,Unique,30,192,82
197445,Left,Normal (170-185),29,180,78
198706,Right,Lean (170-185),28,183,74
199434,Left,Unique,32,181,76
199451,Right,Unique,30,170,68
200458,Left,Unique,27,178,74
200647,Left,Lean (185+),33,190,79
202811,Right,Stocky (185+),28,195,88
203263,Right,Stocky (185+),28,194,100
204639,Right,Normal (185+),30,187,80
204923,Right,Normal (170-185),27,178,76
205988,Left,Stocky (170-185),25,181,75
206517,Right,Unique,25,180,81
207862,Right,Normal (185+),27,191,86
207863,Right,Normal (185+),32,190,84
208418,Right,Lean (185+),27,185,73
208574,Left,Normal (170-185),28,184,82
208670,Left,Unique,28,181,65
209889,Left,Normal (170-),27,170,71
210243,Right,Unique,27,175,70
212188,Right,Unique,25,180,76
215698,Right,Normal (185+),25,191,89
216352,Right,Lean (170-185),28,181,68
216393,Right,Normal (170-185),24,176,72
216460,Right,Normal (185+),26,185,79
216594,Left,Stocky (170-185),27,173,75
222492,Left,Unique,25,183,80
224232,Right,Normal (170-),24,172,68
224334,Left,Stocky (170-185),29,172,69
228941,Right,Normal (185+),25,185,84
230938,Right,Normal (170-185),24,183,88
232656,Left,Unique,23,184,81
235790,Left,Unique,22,188,82
237692,Left,Lean (170-185),21,171,69
135507,Right,Lean (170-185),36,179,67
169416,Left,Normal (170-185),32,177,77
177413,Right,Unique,32,186,81
178750,Right,Stocky (185+),32,189,87
179645,Right,Normal (185+),32,190,86
180930,Right,Lean (185+),35,193,80
183907,Right,Stocky (185+),32,190,94
184087,Right,Normal (185+),32,186,81
184432,Right,Normal (170-185),31,178,77
187961,Right,Normal (170-185),32,183,80
189575,Right,Normal (170-),28,170,66
190286,Left,Lean (170-185),30,176,65
190941,Right,Lean (185+),31,192,83
191043,Left,Unique,30,180,80
192563,Right,Normal (185+),29,190,83
192774,Right,Normal (185+),30,189,83
192883,Right,Normal (170-185),32,177,75
193082,Right,Lean (170-185),33,179,72
197061,Right,Lean (185+),29,194,90
197655,Right,Normal (185+),30,196,92
199845,Left,Normal (185+),33,192,88
199914,Right,Normal (170-185),30,175,74
200610,Left,Stocky (170-185),28,179,85
201153,Right,Unique,28,190,84
201399,Right,Unique,28,181,75
202884,Right,Lean (185+),28,186,75
203574,Right,Lean (185+),27,188,76
203841,Right,Lean (185+),29,199,76
204838,Right,Normal (185+),30,188,81
204935,Left,Normal (185+),27,185,77
205452,Right,Lean (185+),28,190,85
205632,Right,Normal (185+),26,188,84
207410,Right,Normal (170-185),27,176,80
209989,Right,Normal (185+),28,185,77
211688,Left,Lean (170-185),26,172,66
213565,Left,Lean (170-185),25,171,66
213648,Right,Normal (185+),25,185,84
214997,Right,Normal (170-185),26,171,70
215333,Right,Normal (185+),30,189,88
216354,Right,Normal (170-185),30,177,73
220651,Left,Normal (170-185),24,175,69
220814,Left,Unique,25,184,79
220834,Left,Normal (170-185),25,182,76
223689,Right,Normal (185+),28,197,84
223697,Left,Normal (170-185),26,183,76
225193,Left,Normal (185+),25,189,83
225850,Left,Normal (185+),25,189,80
228618,Left,Unique,26,180,73
229880,Right,Unique,23,183,72
230481,Right,Normal (170-185),29,177,75
230658,Right,Unique,24,171,73
230666,Right,Unique,24,175,73
231443,Left,Unique,24,178,67
233064,Right,Lean (170-185),22,178,70
234642,Right,Lean (185+),29,197,86
235805,Right,Normal (170-185),23,175,70
239053,Right,Unique,22,182,78
241486,Right,Normal (170-185),22,181,75
242444,Right,Unique,21,181,72
120533,Right,Lean (185+),38,188,80
157481,Right,Lean (185+),35,190,82
164835,Right,Normal (185+),36,190,83
168435,Right,Normal (185+),34,192,85
168651,Right,Normal (170-185),33,184,78
173731,Left,Unique,31,185,82
178005,Left,Normal (185+),33,190,84
178562,Right,Normal (170-185),33,174,75
180206,Right,Normal (170-185),31,178,72
183512,Left,Normal (170-185),31,181,80
187072,Right,Normal (170-185),32,181,80
188152,Right,Lean (170-185),29,179,70
188943,Right,Normal (185+),30,189,88
189242,Right,Normal (170-185),29,172,68
190460,Right,Unique,29,181,76
190815,Left,Normal (170-185),31,180,72
192318,Right,Normal (170-185),29,177,71
193105,Right,Unique,28,195,94
193165,Right,Normal (170-185),28,173,66
193301,Right,Unique,30,175,73
193474,Right,Lean (170-185),31,174,66
193525,Right,Lean (185+),30,187,80
193698,Right,Normal (185+),31,187,82
194404,Right,Lean (185+),31,190,84
197781,Right,Normal (170-185),29,176,79
198717,Right,Unique,28,180,66
199110,Right,Normal (170-185),30,179,79
199482,Left,Normal (170-185),30,184,81
199823,Right,Lean (170-185),28,179,70
201305,Right,Lean (185+),30,185,72
201519,Right,Normal (170-185),28,177,67
202651,Left,Normal (170-185),27,176,70
203486,Right,Lean (170-185),28,175,71
205069,Left,Normal (170-),28,170,67
205070,Right,Normal (170-),29,167,66
208128,Right,Normal (170-185),27,178,76
208333,Right,Stocky (185+),27,186,86
208421,Left,Lean (170-185),26,184,75
208461,Right,Normal (185+),30,185,76
209981,Left,Lean (185+),30,192,78
210035,Left,Normal (170-185),25,171,69
210413,Left,Unique,26,185,75
210935,Left,Lean (170-185),26,183,72
211256,Left,Normal (170-185),28,172,65
211515,Right,Normal (185+),26,194,94
212190,Right,Stocky (185+),25,195,99
212462,Left,Unique,28,181,71
212523,Left,Unique,27,190,80
212616,Right,Normal (170-185),27,180,70
216547,Right,Lean (170-),28,170,63
219693,Right,Stocky (185+),28,185,86
220018,Right,Normal (185+),27,185,78
220440,Left,Unique,26,186,81
220697,Right,Lean (170-185),24,175,73
222077,Right,Lean (185+),23,185,75
222665,Left,Lean (170-185),22,178,68
224293,Right,Normal (170-185),24,180,80
224458,Right,Normal (170-185),24,178,73
225100,Right,Unique,24,188,77
226271,Left,Normal (185+),25,189,70
227796,Right,Lean (170-185),22,177,69
229391,Right,Normal (185+),25,190,82
229558,Right,Stocky (185+),22,186,90
229668,Left,Normal (185+),26,185,76
229906,Left,Normal (170-185),23,178,77
229984,Left,Normal (170-185),24,178,77
230168,Right,Normal (185+),33,190,85
230375,Right,Normal (185+),29,185,80
230869,Right,Normal (185+),24,190,89
231943,Right,Lean (170-185),24,181,71
232488,Right,Normal (185+),23,185,79
233096,Right,Normal (185+),25,188,80
233419,Left,Lean (170-185),24,176,68
233731,Right,Unique,21,192,77
234378,Right,Normal (185+),22,185,80
234396,Left,Unique,20,183,75
234943,Right,Lean (185+),24,185,74
235410,Left,Lean (185+),24,188,78
235569,Right,Unique,24,179,76
236792,Right,Lean (185+),26,192,86
240130,Right,Lean (170-185),23,186,78
241461,Right,Lean (170-185),21,184,77
241464,Left,Lean (185+),24,191,80
241671,Right,Normal (185+),26,187,79
244260,Right,Lean (170-185),23,179,72
45186,Right,Normal (170-185),39,179,75
124375,Right,Lean (185+),35,188,77
139068,Right,Lean (170-185),34,177,70
153244,Right,Stocky (185+),35,189,85
156519,Right,Normal (185+),31,185,78
163489,Right,Lean (185+),34,189,82
163705,Right,Normal (185+),36,185,82
167664,Right,Unique,33,186,89
171791,Right,Lean (185+),37,191,84
172871,Left,Normal (185+),34,189,86
176266,Right,Normal (170-185),34,179,78
178086,Left,Normal (185+),34,190,86
181458,Left,Lean (185+),32,186,80
181872,Right,Unique,34,180,75
183574,Left,Normal (170-185),33,180,76
184200,Right,Normal (185+),32,192,83
187754,Left,Normal (170-185),33,174,76
190674,Right,Normal (170-185),30,180,74
192366,Right,Normal (170-185),33,183,76
193283,Left,Normal (170-185),29,182,79
193314,Right,Normal (170-185),30,182,78
193983,Right,Stocky (170-185),29,181,83
195365,Right,Lean (170-185),30,178,66
195859,Right,Normal (170-185),28,178,73
197965,Right,Normal (170-185),31,177,72
198164,Right,Lean (170-185),31,171,67
198710,Left,Normal (170-185),29,180,75
199304,Right,Lean (170-185),29,184,78
199564,Right,Lean (170-185),29,178,68
199987,Right,Lean (185+),32,185,83
200260,Left,Lean (170-185),29,182,75
200454,Right,Normal (170-185),27,175,70
200724,Right,Normal (170-185),31,180,76
200888,Right,Normal (185+),29,188,83
200949,Right,Unique,28,174,70
201095,Right,Normal (185+),33,188,84
202695,Right,Normal (185+),28,188,81
203551,Right,Unique,30,173,67
204120,Right,Normal (185+),32,188,85
204311,Right,Normal (185+),26,190,95
204525,Left,Normal (170-185),30,182,77
204638,Right,Normal (185+),28,186,87
205175,Left,Normal (185+),27,186,78
205569,Right,Normal (170-185),26,173,66
205659,Right,Lean (170-185),27,184,78
205678,Right,Lean (170-185),31,172,63
206511,Left,Normal (170-185),27,184,74
207439,Right,Normal (170-185),27,180,75
208330,Left,Lean (185+),26,186,76
208448,Right,Normal (170-185),29,177,76
208596,Right,Normal (170-185),27,181,84
208618,Right,Normal (170-185),30,173,70
209297,Left,Lean (170-),28,169,62
210008,Left,Lean (185+),26,192,80
210385,Right,Normal (185+),27,191,91
210406,Right,Lean (170-185),27,180,75
210411,Right,Normal (170-185),26,172,71
210463,Right,Stocky (170-185),28,174,74
211300,Right,Unique,25,184,76
211990,Right,Normal (185+),27,191,78
212194,Right,Normal (185+),25,185,83
214979,Right,Normal (185+),27,191,93
215330,Right,Normal (185+),26,189,75
216201,Right,Normal (185+),27,186,80
216409,Left,Normal (170-185),27,171,67
216475,Right,Lean (170-185),33,180,70
217940,Right,Normal (170-185),29,178,72
220093,Right,Normal (185+),27,185,72
220407,Right,Normal (185+),32,190,80
221363,Right,Unique,24,184,74
221479,Right,Unique,24,187,71
221992,Right,Lean (170-185),25,175,70
223952,Right,Lean (185+),28,192,85
224081,Right,Stocky (170-185),25,178,72
224411,Right,Normal (170-185),24,179,68
225375,Right,Lean (170-185),24,180,72
226110,Left,Unique,26,183,73
226166,Right,Normal (185+),23,187,84
226226,Left,Normal (170-185),25,177,68
227127,Right,Lean (185+),26,191,83
227950,Right,Normal (170-185),26,182,79
228251,Right,Normal (185+),25,186,77
230225,Right,Normal (170-185),25,181,82
230256,Left,Normal (170-185),29,172,68
230258,Right,Lean (170-185),21,175,70
230294,Right,Normal (185+),29,188,83
230347,Left,Lean (170-185),21,178,69
230430,Right,Normal (170-185),29,184,79
231969,Left,Stocky (170-185),28,181,79
232411,Right,Lean (170-185),23,179,72
233927,Left,Normal (170-185),23,180,72
234153,Right,Lean (170-185),24,180,76
234742,Right,Normal (170-185),23,180,66
234906,Right,Unique,23,175,70
235374,Right,Lean (170-185),27,174,67
238074,Right,Stocky (170-185),21,178,87
239231,Left,Lean (170-185),22,172,66
240950,Right,Normal (170-185),23,173,65
241852,Left,Normal (170-),21,170,68
245279,Left,Lean (170-185),24,178,68
247263,Right,Normal (185+),22,194,85
247394,Left,Normal (185+),21,186,75
251573,Left,Lean (170-185),23,173,70
251854,Right,Lean (170-185),18,174,61
1179,Right,Normal (185+),43,192,92
140233,Right,Lean (170-185),35,190,85
148119,Right,Normal (185+),35,186,78
162347,Right,Normal (170-),34,170,61
169588,Right,Lean (185+),33,188,77
171579,Right,Normal (170-185),34,184,83
171877,Right,Normal (170-185),33,183,73
172522,Right,Normal (170-185),32,181,74
173426,Right,Normal (185+),33,193,87
176676,Left,Unique,33,174,75
177388,Right,Stocky (170-185),34,175,77
177509,Right,Normal (185+),34,189,94
177604,Left,Lean (170-185),35,180,77
178518,Right,Unique,33,176,65
182493,Right,Lean (185+),35,187,78
182494,Right,Normal (185+),35,190,74
183855,Left,Normal (185+),33,191,86
184941,Right,Unique,32,168,62
185020,Right,Lean (170-185),34,178,73
186561,Right,Lean (170-185),30,183,76
187598,Right,Lean (185+),30,185,75
189117,Right,Normal (185+),30,187,85
189271,Right,Normal (170-185),30,176,74
189690,Right,Normal (185+),34,190,80
190972,Right,Normal (170-185),30,173,71
193061,Right,Lean (170-185),30,182,77
196432,Right,Normal (170-185),35,178,77
197225,Left,Normal (170-),32,170,69
197242,Right,Normal (185+),31,187,84
198009,Right,Lean (185+),28,188,77
198031,Right,Normal (170-185),29,181,78
198141,Right,Lean (170-185),30,184,73
198950,Left,Normal (170-185),29,174,70
198951,Right,Normal (170-185),30,182,74
199042,Right,Lean (170-185),32,171,68
199254,Right,Lean (170-185),29,184,73
201119,Left,Stocky (170-185),31,177,86
201143,Right,Lean (170-185),29,184,78
201400,Left,Lean (170-185),28,174,71
201922,Left,Normal (170-185),28,184,83
202024,Right,Normal (170-185),29,180,80
202166,Right,Lean (185+),27,187,77
202325,Right,Normal (170-185),29,172,71
203890,Right,Normal (170-185),29,181,76
203895,Right,Normal (170-),29,170,63
203980,Right,Lean (170-185),28,183,70
204399,Right,Lean (170-185),33,182,71
204970,Left,Normal (170-185),28,179,70
205600,Left,Unique,27,182,75
205686,Right,Normal (170-185),29,172,69
205693,Right,Normal (185+),27,190,82
205705,Left,Normal (185+),31,192,84
205849,Right,Lean (185+),30,194,83
207599,Right,Normal (185+),28,191,82
207732,Right,Normal (170-185),30,179,74
207877,Right,Stocky (170-),28,170,69
208808,Right,Normal (170-185),29,174,72
209519,Left,Normal (170-185),27,181,78
209960,Left,Normal (185+),29,186,81
210455,Right,Normal (170-),27,170,70
211117,Right,Unique,25,188,80
212151,Right,Lean (185+),26,193,78
212187,Left,Normal (170-185),27,177,77
212814,Right,Normal (170-185),28,179,73
213661,Right,Lean (185+),25,187,81
214584,Right,Normal (185+),34,189,88
215223,Right,Normal (185+),28,191,93
215316,Right,Normal (185+),29,189,84
216189,Right,Stocky (170-185),29,175,75
217870,Right,Normal (170-185),27,183,83
219683,Right,Normal (170-185),26,181,81
219953,Right,Normal (170-185),29,173,68
220182,Right,Normal (170-185),26,184,80
220971,Right,Lean (170-185),26,172,64
221087,Left,Lean (185+),26,189,77
221660,Right,Lean (185+),26,187,80
222331,Right,Normal (185+),25,187,88
222716,Right,Normal (170-185),25,174,72
223724,Right,Normal (170-185),28,175,73
223816,Right,Normal (170-185),27,177,79
223959,Right,Normal (170-),25,166,60
224179,Right,Normal (185+),28,187,86
224309,Right,Lean (170-185),26,183,74
225085,Right,Normal (170-185),25,175,70
225201,Right,Normal (170-185),25,175,73
225953,Right,Stocky (170-185),23,178,78
226491,Left,Normal (170-185),24,178,70
226754,Left,Lean (170-185),23,175,70
227290,Left,Stocky (185+),29,194,94
227813,Left,Lean (170-185),24,175,64
227928,Right,Unique,27,177,69
229237,Right,Normal (185+),25,187,91
229261,Right,Normal (185+),24,191,81
229582,Right,Normal (185+),25,190,77
229857,Right,Normal (170-),25,168,62
229927,Left,Normal (170-185),24,184,72
230201,Right,Normal (170-185),25,177,75
230204,Right,Normal (170-185),25,182,74
230271,Left,Lean (170-185),21,171,63
230313,Right,Stocky (170-185),33,179,80
230767,Right,Normal (170-185),23,176,70
231447,Right,Normal (170-185),22,179,78
232119,Right,Normal (185+),25,185,82
232293,Right,Lean (185+),22,185,78
233195,Left,Stocky (170-185),23,174,76
233306,Right,Normal (185+),24,188,85
236401,Right,Lean (170-185),23,183,62
236583,Right,Normal (185+),29,196,81
236987,Right,Lean (170-185),21,184,68
237238,Right,Normal (185+),24,193,88
237383,Left,Lean (185+),22,190,75
238794,Right,Lean (170-185),20,176,73
239207,Right,Stocky (185+),24,186,84
240709,Right,Normal (170-185),23,176,75
240900,Right,Normal (185+),24,186,81
241084,Right,Lean (170-185),24,180,73
241095,Right,Stocky (170-185),23,178,79
243576,Right,Normal (170-185),21,176,71
244369,Left,Lean (170-185),23,178,72
244470,Right,Normal (170-185),28,175,76
246669,Left,Lean (170-185),19,178,65
41,Right,Normal (170-),37,171,68
138412,Right,Stocky (170-185),35,175,70
156616,Right,Normal (170-),38,170,72
158121,Right,Normal (185+),33,187,82
159145,Right,Normal (170-185),35,186,86
162240,Left,Normal (185+),33,185,85
170890,Left,Unique,34,180,75
173221,Right,Normal (170-185),34,180,70
176550,Right,Normal (170-185),32,183,80
176635,Left,Unique,32,180,71
176919,Right,Normal (185+),35,193,94
178509,Left,Normal (185+),34,193,91
184484,Right,Normal (185+),31,186,77
186682,Right,Normal (170-185),33,181,72
187052,Right,Normal (170-185),31,182,80
188041,Right,Normal (170-185),32,181,78
188042,Right,Normal (170-185),33,183,75
189560,Right,Normal (185+),33,190,80
189615,Left,Normal (170-185),31,175,66
189682,Left,Normal (170-185),31,180,82
189805,Right,Normal (185+),30,188,86
190584,Right,Normal (170-185),31,179,74
190717,Right,Stocky (170-185),31,178,82
190745,Right,Normal (185+),30,191,80
190813,Right,Lean (170-185),28,178,73
191202,Left,Lean (185+),32,194,83
191740,Right,Lean (170-185),31,182,71
192064,Right,Normal (185+),30,185,78
192123,Right,Normal (185+),29,191,92
192598,Right,Stocky (170-185),31,180,77
192638,Left,Lean (185+),30,188,85
192789,Right,Normal (170-185),30,180,77
192906,Right,Stocky (170-),36,168,71
193198,Right,Normal (185+),29,187,73
193348,Left,Unique,29,169,72
194209,Right,Normal (170-185),34,182,84
194333,Right,Normal (185+),33,190,81
196978,Right,Normal (170-185),29,180,66
198230,Right,Normal (185+),34,187,82
198329,Left,Lean (170-185),30,182,77
198784,Right,Normal (170-185),27,175,70
198946,Right,Normal (170-185),32,180,75
199354,Left,Normal (170-185),32,180,73
199503,Left,Normal (185+),28,185,82
200315,Right,Lean (170-185),29,178,65
200726,Left,Normal (185+),30,187,78
201455,Left,Lean (185+),28,188,76
202048,Right,Normal (185+),28,186,80
202335,Right,Stocky (185+),27,190,90
202477,Right,Normal (170-185),27,177,73
202648,Right,Lean (170-185),27,180,71
202750,Right,Normal (185+),30,195,97
202857,Right,Normal (170-185),31,184,81
202935,Right,Lean (170-185),31,182,75
203299,Right,Normal (170-185),30,182,78
203483,Right,Normal (170-185),28,179,70
204024,Right,Lean (185+),30,191,76
204234,Right,Lean (170-185),29,180,70
204259,Right,Normal (170-185),29,178,72
204538,Right,Normal (170-),30,169,66
204884,Left,Stocky (185+),26,185,85
205923,Left,Normal (170-185),28,182,76
206413,Left,Normal (170-185),31,181,80
206467,Right,Normal (170-185),28,181,79
206545,Right,Normal (170-185),29,178,75
206585,Right,Lean (185+),26,186,88
207494,Right,Lean (170-185),28,175,60
208104,Right,Normal (185+),28,190,84
208135,Right,Unique,28,184,76
208165,Right,Normal (185+),28,190,83
209846,Left,Stocky (170-185),28,184,83
210315,Right,Normal (170-185),26,180,79
210324,Right,Normal (170-185),28,176,73
210513,Left,Stocky (170-),28,169,65
210625,Right,Normal (170-185),26,184,83
210897,Right,Normal (170-185),26,182,82
211022,Left,Normal (170-185),27,171,71
211241,Right,Normal (170-),29,170,65
211748,Left,Normal (170-185),27,183,73
212096,Right,Normal (170-185),28,180,76
212382,Right,Normal (185+),27,201,93
212404,Left,Normal (185+),27,185,77
212442,Right,Normal (185+),28,192,84
213516,Right,Lean (170-185),26,173,63
214047,Right,Lean (170-185),30,182,71
216145,Right,Normal (170-185),29,183,81
216150,Right,Lean (170-185),29,182,75
216388,Right,Stocky (170-185),24,173,67
216531,Left,Normal (185+),28,188,84
218339,Right,Lean (170-185),25,178,68
219789,Right,Normal (170-185),29,175,71
219809,Right,Lean (185+),26,189,85
220253,Left,Lean (170-185),25,175,69
220523,Right,Normal (185+),26,195,94
220673,Right,Stocky (185+),25,185,80
220793,Right,Unique,25,187,79
221491,Right,Normal (185+),24,189,81
222028,Right,Lean (185+),25,186,80
222501,Right,Lean (170-185),25,180,80
223249,Right,Normal (185+),33,188,82
223578,Right,Normal (185+),32,185,79
223597,Right,Normal (170-185),28,172,71
224031,Right,Normal (185+),28,185,85
224196,Left,Normal (185+),26,186,82
224490,Right,Normal (170-185),24,180,78
225116,Left,Lean (185+),24,190,83
225508,Right,Normal (185+),27,186,77
225663,Right,Lean (170-185),25,180,69
226162,Right,Stocky (170-185),24,172,65
226221,Right,Normal (170-185),27,180,71
226300,Right,Lean (185+),25,191,82
226456,Right,Lean (170-185),25,178,67
226851,Right,Normal (185+),25,186,81
228093,Right,Normal (185+),23,192,88
228520,Left,Normal (170-185),27,172,81
228687,Right,Normal (185+),23,187,84
230184,Left,Lean (170-),21,168,65
230216,Right,Lean (170-185),29,175,70
230234,Right,Stocky (170-185),25,177,75
230251,Right,Normal (185+),21,188,88
230312,Right,Normal (185+),29,186,80
230498,Right,Normal (170-185),21,176,73
232432,Right,Stocky (170-185),23,182,85
232580,Left,Normal (185+),23,190,87
232665,Right,Normal (170-185),25,175,74
232730,Right,Lean (170-185),24,184,76
232756,Right,Normal (185+),23,185,79
233738,Right,Normal (170-185),24,181,73
234035,Right,Lean (170-185),25,176,66
234236,Left,Normal (185+),25,191,85
234612,Left,Normal (170-185),23,175,73
235073,Right,Normal (185+),23,195,88
235688,Right,Normal (185+),25,188,77
236480,Right,Normal (170-185),24,182,80
236506,Left,Normal (170-185),24,183,78
236572,Left,Normal (170-185),21,176,65
236610,Right,Normal (170-185),21,182,72
236632,Left,Lean (170-185),24,176,66
237239,Right,Normal (170-185),25,172,64
237942,Left,Stocky (170-185),23,175,78
239301,Left,Normal (170-185),23,178,77
239433,Right,Normal (185+),26,189,78
240243,Right,Lean (170-185),22,183,76
240679,Left,Normal (170-185),23,183,77
241637,Right,Normal (185+),21,187,81
241788,Right,Normal (185+),28,187,83
242516,Right,Lean (185+),22,189,76
243812,Right,Lean (170-185),20,174,64
244067,Right,Normal (185+),21,190,88
247204,Right,Lean (170-185),22,181,79
247851,Right,Normal (170-185),23,182,78
251809,Left,Normal (185+),21,193,81
252371,Right,Lean (185+),18,186,75
255475,Left,Normal (170-185),21,174,63
24630,Right,Unique,38,188,92
146439,Left,Stocky (185+),35,186,86
152908,Right,Lean (170-185),35,175,65
156433,Right,Normal (185+),38,186,85
159261,Right,Normal (170-185),38,180,79
163155,Left,Normal (185+),38,193,90
165229,Right,Lean (185+),35,186,80
167397,Right,Normal (170-185),35,177,72
170368,Left,Lean (170-185),29,184,80
171897,Left,Lean (170-),34,169,67
172962,Right,Normal (170-185),30,177,79
173306,Right,Normal (170-185),34,181,76
173909,Right,Normal (185+),34,185,86
174543,Right,Normal (170-185),38,184,80
175254,Left,Stocky (170-185),32,183,82
175379,Right,Normal (170-185),34,183,73
176772,Right,Normal (170-185),32,184,80
177633,Right,Lean (170-185),34,172,68
178007,Left,Normal (170-185),35,180,79
178088,Left,Lean (170-),33,170,63
178213,Right,Lean (185+),32,190,80
178224,Right,Normal (170-185),33,175,73
178250,Right,Normal (170-185),35,179,77
178415,Right,Normal (170-185),33,178,79
180216,Right,Normal (170-185),32,177,77
180334,Right,Normal (185+),34,191,85
183394,Right,Unique,31,187,91
184392,Right,Normal (170-185),31,182,70
185103,Left,Normal (185+),35,187,81
186197,Left,Lean (170-185),30,173,72
186801,Right,Lean (185+),31,189,83
187607,Right,Normal (185+),32,196,91
187936,Right,Lean (185+),32,196,89
188335,Left,Lean (185+),29,190,75
189053,Right,Lean (170-185),33,181,74
189125,Right,Normal (170-185),31,181,75
189280,Right,Normal (170-185),31,175,73
189505,Right,Lean (170-),33,169,65
189606,Right,Normal (170-185),33,181,85
189881,Right,Lean (185+),31,194,81
190243,Right,Normal (185+),33,194,89
191180,Right,Lean (185+),32,187,78
192045,Right,Normal (170-185),30,177,76
192678,Right,Normal (185+),31,186,79
192679,Left,Lean (170-185),31,176,72
193171,Left,Lean (170-185),33,171,62
193361,Right,Normal (170-185),30,182,76
193408,Left,Normal (185+),29,189,85
193469,Left,Normal (185+),32,185,78
194222,Right,Normal (185+),31,185,80
195096,Right,Normal (185+),30,187,82
197837,Right,Normal (185+),30,188,84
198657,Right,Stocky (170-),28,170,70
198658,Right,Normal (170-185),27,176,70
199189,Right,Normal (185+),27,189,76
199206,Right,Lean (170-185),32,184,76
199576,Right,Normal (170-185),29,183,83
199652,Right,Normal (170-185),27,181,78
199715,Right,Normal (185+),31,185,79
199915,Right,Normal (185+),29,192,88
200155,Right,Lean (185+),28,195,80
200159,Right,Normal (185+),28,185,88
201042,Right,Normal (170-185),28,182,71
201417,Right,Normal (170-185),29,182,87
201995,Right,Unique,28,175,70
202849,Right,Normal (185+),28,199,96
203605,Right,Normal (170-185),29,182,81
203747,Right,Lean (170-185),26,178,74
203843,Right,Normal (170-185),33,173,68
204082,Left,Normal (185+),28,193,78
